geoName,geoCode,streichen
Baden-Württemberg,DE-BW,79
Bavaria,DE-BY,78
Berlin,DE-BE,61
Brandenburg,DE-BB,75
Bremen,DE-HB,91
Hamburg,DE-HH,72
Hesse,DE-HE,79
Lower Saxony,DE-NI,93
Mecklenburg-Vorpommern,DE-MV,68
North Rhine-Westphalia,DE-NW,85
Rhineland-Palatinate,DE-RP,96
Saarland,DE-SL,100
Saxony,DE-SN,61
Saxony-Anhalt,DE-ST,67
Schleswig-Holstein,DE-SH,79
Thuringia,DE-TH,73
