geoName,geoCode,streichen
Burgenland,AT-1,78
Carinthia,AT-2,100
Lower Austria,AT-3,83
Salzburg,AT-5,63
Styria,AT-6,75
Tyrol,AT-7,62
Upper Austria,AT-4,78
Vienna,AT-9,62
Vorarlberg,AT-8,64
