geoName,geoCode,moustiquaire
Brittany,FR-E,20.105820105820104
Centre-Val de Loire,FR-F,40.21164021164021
Corsica,FR-H,65.60846560846561
Pays de la Loire,FR-R,43.386243386243386
Provence-Alpes-Côte d'Azur,FR-U,82.53968253968253
Île-de-France,FR-J,25.396825396825395
Grand-est,FR-GE,50.44091710758377
Hauts-de-france,FR-HF,40.21164021164021
Normandie,FR-NO,19.576719576719576
Bourgogne-Franche-Comté,FR-BFC,71.95767195767195
Nouvelle-Aquitaine,FR-NA,65.25573192239858
Occitanie,FR-OC,100.0
Auvergne-Rhône-Alpes,FR-AR,78.83597883597884
