date,moustiquaire
2018-01-07,0.035
2018-01-14,0.025
2018-01-21,0.1275
2018-01-28,0.0875
2018-02-04,0.08
2018-02-11,0.0625
2018-02-18,0.065
2018-02-25,0.0625
2018-03-04,0.1175
2018-03-11,0.11
2018-03-18,0.0175
2018-03-25,0.0925
2018-04-01,0.105
2018-04-08,0.21
2018-04-15,0.39
2018-04-22,0.3075
2018-04-29,0.25
2018-05-06,0.5225
2018-05-13,0.185
2018-05-20,0.3225
2018-05-27,0.465
2018-06-03,0.515
2018-06-10,0.325
2018-06-17,0.32
2018-06-24,0.3575
2018-07-01,0.465
2018-07-08,0.3925
2018-07-15,0.48
2018-07-22,0.4875
2018-07-29,0.4975
2018-08-05,0.3875
2018-08-12,0.295
2018-08-19,0.1575
2018-08-26,0.0975
2018-09-02,0.065
2018-09-09,0.2325
2018-09-16,0.155
2018-09-23,0.065
2018-09-30,0.14
2018-10-07,0.0825
2018-10-14,0.1025
2018-10-21,0.1375
2018-10-28,0.0925
2018-11-04,0.115
2018-11-11,0.105
2018-11-18,0.0
2018-11-25,0.1075
2018-12-02,0.095
2018-12-09,0.015
2018-12-16,0.08
2018-12-23,0.0325
2018-12-30,0.08
2019-01-06,0.08
2019-01-13,0.0525
2019-01-20,0.0925
2019-01-27,0.05
2019-02-03,0.155
2019-02-10,0.1
2019-02-17,0.1
2019-02-24,0.1275
2019-03-03,0.1625
2019-03-10,0.0825
2019-03-17,0.1775
2019-03-24,0.175
2019-03-31,0.17
2019-04-07,0.21
2019-04-14,0.2825
2019-04-21,0.2575
2019-04-28,0.1925
2019-05-05,0.19
2019-05-12,0.15
2019-05-19,0.2125
2019-05-26,0.2625
2019-06-02,0.515
2019-06-09,0.2725
2019-06-16,0.5275
2019-06-23,1.0
2019-06-30,0.6525
2019-07-07,0.3475
2019-07-14,0.4525
2019-07-21,0.5775
2019-07-28,0.3675
2019-08-04,0.36
2019-08-11,0.21
2019-08-18,0.135
2019-08-25,0.205
2019-09-01,0.1075
2019-09-08,0.1225
2019-09-15,0.09
2019-09-22,0.1225
2019-09-29,0.095
2019-10-06,0.085
2019-10-13,0.0975
2019-10-20,0.11
2019-10-27,0.1175
2019-11-03,0.0775
2019-11-10,0.0725
2019-11-17,0.0
2019-11-24,0.0125
2019-12-01,0.045
2019-12-08,0.0475
2019-12-15,0.0125
2019-12-22,0.0275
2019-12-29,0.05
2020-01-05,0.0425
2020-01-12,0.0725
2020-01-19,0.0525
2020-01-26,0.0825
2020-02-02,0.1125
2020-02-09,0.1425
2020-02-16,0.09
2020-02-23,0.09
2020-03-01,0.1075
2020-03-08,0.1275
2020-03-15,0.095
2020-03-22,0.165
2020-03-29,0.125
2020-04-05,0.335
2020-04-12,0.275
2020-04-19,0.4475
2020-04-26,0.4225
2020-05-03,0.42
2020-05-10,0.38
2020-05-17,0.77
2020-05-24,0.4475
2020-05-31,0.5375
2020-06-07,0.29
2020-06-14,0.4675
2020-06-21,0.505
