geoName,geoCode,Hausbau
Baden-Württemberg,DE-BW,72
Bavaria,DE-BY,90
Berlin,DE-BE,71
Brandenburg,DE-BB,100
Bremen,DE-HB,54
Hamburg,DE-HH,64
Hesse,DE-HE,55
Lower Saxony,DE-NI,85
Mecklenburg-Vorpommern,DE-MV,80
North Rhine-Westphalia,DE-NW,53
Rhineland-Palatinate,DE-RP,71
Saarland,DE-SL,81
Saxony,DE-SN,75
Saxony-Anhalt,DE-ST,91
Schleswig-Holstein,DE-SH,74
Thuringia,DE-TH,69
