geoName,geoCode,trucchi di magia
Abruzzo,IT-65,47
Aosta,IT-23,0
Apulia,IT-75,49
Basilicata,IT-77,0
Calabria,IT-78,39
Campania,IT-72,46
Emilia-Romagna,IT-45,100
Friuli-Venezia Giulia,IT-36,45
Lazio,IT-62,66
Liguria,IT-42,0
Lombardy,IT-25,91
Marche,IT-57,36
Molise,IT-67,0
Piedmont,IT-21,95
Sardinia,IT-88,94
Sicily,IT-82,43
Trentino-Alto Adige/South Tyrol,IT-32,0
Tuscany,IT-52,49
Umbria,IT-55,0
Veneto,IT-34,94
