geoName,geoCode,Wohnung
Burgenland,AT-1,56
Carinthia,AT-2,67
Lower Austria,AT-3,60
Salzburg,AT-5,93
Styria,AT-6,69
Tyrol,AT-7,94
Upper Austria,AT-4,64
Vienna,AT-9,78
Vorarlberg,AT-8,100
