geoName,geoCode,Heizungsfirma
Baden-Württemberg,DE-BW,8
Bavaria,DE-BY,8
Berlin,DE-BE,14
Brandenburg,DE-BB,36
Bremen,DE-HB,0
Hamburg,DE-HH,12
Hesse,DE-HE,18
Lower Saxony,DE-NI,11
Mecklenburg-Vorpommern,DE-MV,30
North Rhine-Westphalia,DE-NW,12
Rhineland-Palatinate,DE-RP,24
Saarland,DE-SL,51
Saxony,DE-SN,22
Saxony-Anhalt,DE-ST,100
Schleswig-Holstein,DE-SH,10
Thuringia,DE-TH,33
