geoName,geoCode,addio al nubilato
Abruzzo,IT-65,29
Aosta,IT-23,0
Apulia,IT-75,14
Basilicata,IT-77,100
Calabria,IT-78,21
Campania,IT-72,41
Emilia-Romagna,IT-45,29
Friuli-Venezia Giulia,IT-36,28
Lazio,IT-62,30
Liguria,IT-42,16
Lombardy,IT-25,35
Marche,IT-57,39
Molise,IT-67,42
Piedmont,IT-21,29
Sardinia,IT-88,13
Sicily,IT-82,26
Trentino-Alto Adige/South Tyrol,IT-32,27
Tuscany,IT-52,37
Umbria,IT-55,49
Veneto,IT-34,28
