geoName,geoCode,Sonnenkraft
Burgenland,AT-1,0
Carinthia,AT-2,100
Lower Austria,AT-3,23
Salzburg,AT-5,0
Styria,AT-6,31
Tyrol,AT-7,0
Upper Austria,AT-4,25
Vienna,AT-9,7
Vorarlberg,AT-8,0
