geoName,geoCode,Hausmeisterservice
Baden-Württemberg,DE-BW,43
Bavaria,DE-BY,71
Berlin,DE-BE,16
Brandenburg,DE-BB,75
Bremen,DE-HB,37
Hamburg,DE-HH,25
Hesse,DE-HE,50
Lower Saxony,DE-NI,34
Mecklenburg-Vorpommern,DE-MV,88
North Rhine-Westphalia,DE-NW,54
Rhineland-Palatinate,DE-RP,62
Saarland,DE-SL,88
Saxony,DE-SN,55
Saxony-Anhalt,DE-ST,71
Schleswig-Holstein,DE-SH,46
Thuringia,DE-TH,100
