date,psychologie sociale
2018-01-07,0.768
2018-01-14,0.568
2018-01-21,0.568
2018-01-28,0.256
2018-02-04,0.0
2018-02-11,0.288
2018-02-18,0.192
2018-02-25,0.744
2018-03-04,0.184
2018-03-11,0.376
2018-03-18,0.584
2018-03-25,0.808
2018-04-01,0.2
2018-04-08,0.0
2018-04-15,0.216
2018-04-22,0.304
2018-04-29,0.4
2018-05-06,0.0
2018-05-13,1.0
2018-05-20,0.208
2018-05-27,0.8
2018-06-03,0.0
2018-06-10,0.592
2018-06-17,0.0
2018-06-24,0.0
2018-07-01,0.408
2018-07-08,0.208
2018-07-15,0.208
2018-07-22,0.424
2018-07-29,0.648
2018-08-05,0.44
2018-08-12,0.0
2018-08-19,0.216
2018-08-26,0.2
2018-09-02,0.0
2018-09-09,0.2
2018-09-16,0.2
2018-09-23,0.624
2018-09-30,0.416
2018-10-07,0.408
2018-10-14,0.416
2018-10-21,0.208
2018-10-28,0.2
2018-11-04,0.6
2018-11-11,0.608
2018-11-18,0.192
2018-11-25,0.328
2018-12-02,0.192
2018-12-09,0.608
2018-12-16,0.336
2018-12-23,0.0
2018-12-30,0.208
2019-01-06,0.192
2019-01-13,0.384
2019-01-20,0.56
2019-01-27,0.184
2019-02-03,0.0
2019-02-10,0.592
2019-02-17,0.2
2019-02-24,0.296
2019-03-03,0.184
2019-03-10,0.192
2019-03-17,0.608
2019-03-24,0.192
2019-03-31,0.408
2019-04-07,0.184
2019-04-14,0.424
2019-04-21,0.192
2019-04-28,0.0
2019-05-05,0.176
2019-05-12,0.4
2019-05-19,0.976
2019-05-26,0.192
2019-06-02,0.0
2019-06-09,0.176
2019-06-16,0.376
2019-06-23,0.0
2019-06-30,0.184
2019-07-07,0.0
2019-07-14,0.0
2019-07-21,0.256
2019-07-28,0.192
2019-08-04,0.0
2019-08-11,0.208
2019-08-18,0.208
2019-08-25,0.392
2019-09-01,0.56
2019-09-08,0.664
2019-09-15,0.56
2019-09-22,0.544
2019-09-29,0.744
2019-10-06,0.304
2019-10-13,0.296
2019-10-20,0.536
2019-10-27,0.168
2019-11-03,0.168
2019-11-10,0.256
2019-11-17,0.28
2019-11-24,0.344
2019-12-01,0.52
2019-12-08,0.248
2019-12-15,0.96
2019-12-22,0.368
2019-12-29,0.0
2020-01-05,0.248
2020-01-12,0.496
2020-01-19,0.512
2020-01-26,0.16
2020-02-02,0.32
2020-02-09,0.336
2020-02-16,0.232
2020-02-23,0.152
2020-03-01,0.16
2020-03-08,0.208
2020-03-15,0.448
2020-03-22,0.144
2020-03-29,0.44
2020-04-05,0.288
2020-04-12,0.432
2020-04-19,0.144
2020-04-26,0.272
2020-05-03,0.28
2020-05-10,0.72
2020-05-17,0.0
