geoName,geoCode,Klempner
Baden-Württemberg,DE-BW,26
Bavaria,DE-BY,24
Berlin,DE-BE,35
Brandenburg,DE-BB,40
Bremen,DE-HB,100
Hamburg,DE-HH,92
Hesse,DE-HE,24
Lower Saxony,DE-NI,60
Mecklenburg-Vorpommern,DE-MV,91
North Rhine-Westphalia,DE-NW,44
Rhineland-Palatinate,DE-RP,28
Saarland,DE-SL,19
Saxony,DE-SN,90
Saxony-Anhalt,DE-ST,66
Schleswig-Holstein,DE-SH,81
Thuringia,DE-TH,97
