geoName,geoCode,torta margherita
Abruzzo,IT-65,20
Aosta,IT-23,78
Apulia,IT-75,19
Basilicata,IT-77,27
Calabria,IT-78,28
Campania,IT-72,31
Emilia-Romagna,IT-45,45
Friuli-Venezia Giulia,IT-36,46
Lazio,IT-62,17
Liguria,IT-42,76
Lombardy,IT-25,65
Marche,IT-57,23
Molise,IT-67,9
Piedmont,IT-21,68
Sardinia,IT-88,100
Sicily,IT-82,69
Trentino-Alto Adige/South Tyrol,IT-32,26
Tuscany,IT-52,31
Umbria,IT-55,24
Veneto,IT-34,63
