geoName,geoCode,Autosattlerei
Baden-Württemberg,DE-BW,40
Bavaria,DE-BY,70
Berlin,DE-BE,43
Brandenburg,DE-BB,82
Bremen,DE-HB,0
Hamburg,DE-HH,51
Hesse,DE-HE,76
Lower Saxony,DE-NI,50
Mecklenburg-Vorpommern,DE-MV,0
North Rhine-Westphalia,DE-NW,58
Rhineland-Palatinate,DE-RP,66
Saarland,DE-SL,100
Saxony,DE-SN,81
Saxony-Anhalt,DE-ST,55
Schleswig-Holstein,DE-SH,65
Thuringia,DE-TH,27
