geoName,geoCode,bouquet sposa
Abruzzo,IT-65,72
Aosta,IT-23,0
Apulia,IT-75,55
Basilicata,IT-77,0
Calabria,IT-78,49
Campania,IT-72,100
Emilia-Romagna,IT-45,42
Friuli-Venezia Giulia,IT-36,69
Lazio,IT-62,39
Liguria,IT-42,22
Lombardy,IT-25,50
Marche,IT-57,67
Molise,IT-67,0
Piedmont,IT-21,48
Sardinia,IT-88,46
Sicily,IT-82,44
Trentino-Alto Adige/South Tyrol,IT-32,0
Tuscany,IT-52,22
Umbria,IT-55,64
Veneto,IT-34,27
