date,Débouchage canalisation,isPartial
2018-01-07,41,False
2018-01-14,41,False
2018-01-21,31,False
2018-01-28,41,False
2018-02-04,20,False
2018-02-11,21,False
2018-02-18,28,False
2018-02-25,52,False
2018-03-04,31,False
2018-03-11,42,False
2018-03-18,21,False
2018-03-25,32,False
2018-04-01,36,False
2018-04-08,31,False
2018-04-15,34,False
2018-04-22,32,False
2018-04-29,36,False
2018-05-06,44,False
2018-05-13,31,False
2018-05-20,29,False
2018-05-27,41,False
2018-06-03,69,False
2018-06-10,100,False
2018-06-17,21,False
2018-06-24,42,False
2018-07-01,41,False
2018-07-08,29,False
2018-07-15,23,False
2018-07-22,45,False
2018-07-29,45,False
2018-08-05,46,False
2018-08-12,24,False
2018-08-19,34,False
2018-08-26,33,False
2018-09-02,54,False
2018-09-09,21,False
2018-09-16,42,False
2018-09-23,43,False
2018-09-30,64,False
2018-10-07,43,False
2018-10-14,21,False
2018-10-21,29,False
2018-10-28,32,False
2018-11-04,0,False
2018-11-11,31,False
2018-11-18,41,False
2018-11-25,55,False
2018-12-02,21,False
2018-12-09,49,False
2018-12-16,36,False
2018-12-23,57,False
2018-12-30,61,False
2019-01-06,21,False
2019-01-13,55,False
2019-01-20,27,False
2019-01-27,20,False
2019-02-03,40,False
2019-02-10,42,False
2019-02-17,36,False
2019-02-24,63,False
2019-03-03,41,False
2019-03-10,55,False
2019-03-17,32,False
2019-03-24,57,False
2019-03-31,34,False
2019-04-07,53,False
2019-04-14,22,False
2019-04-21,32,False
2019-04-28,21,False
2019-05-05,20,False
2019-05-12,31,False
2019-05-19,41,False
2019-05-26,41,False
2019-06-02,39,False
2019-06-09,20,False
2019-06-16,82,False
2019-06-23,21,False
2019-06-30,34,False
2019-07-07,51,False
2019-07-14,42,False
2019-07-21,43,False
2019-07-28,22,False
2019-08-04,52,False
2019-08-11,29,False
2019-08-18,66,False
2019-08-25,34,False
2019-09-01,30,False
2019-09-08,30,False
2019-09-15,40,False
2019-09-22,45,False
2019-09-29,25,False
2019-10-06,39,False
2019-10-13,26,False
2019-10-20,52,False
2019-10-27,25,False
2019-11-03,44,False
2019-11-10,38,False
2019-11-17,37,False
2019-11-24,36,False
2019-12-01,19,False
2019-12-08,43,False
2019-12-15,63,False
2019-12-22,74,False
2019-12-29,33,False
2020-01-05,42,False
2020-01-12,94,False
2020-01-19,49,False
2020-01-26,24,False
2020-02-02,18,False
2020-02-09,60,False
2020-02-16,37,False
2020-02-23,53,False
2020-03-01,40,False
2020-03-08,35,False
2020-03-15,49,False
2020-03-22,38,False
2020-03-29,37,False
2020-04-05,32,False
2020-04-12,33,False
2020-04-19,21,False
2020-04-26,61,False
2020-05-03,41,False
2020-05-10,43,False
2020-05-17,80,True
