date,Maurer,isPartial
2018-01-07,65,False
2018-01-14,64,False
2018-01-21,69,False
2018-01-28,86,False
2018-02-04,61,False
2018-02-11,61,False
2018-02-18,59,False
2018-02-25,82,False
2018-03-04,84,False
2018-03-11,77,False
2018-03-18,68,False
2018-03-25,100,False
2018-04-01,71,False
2018-04-08,80,False
2018-04-15,73,False
2018-04-22,64,False
2018-04-29,63,False
2018-05-06,80,False
2018-05-13,89,False
2018-05-20,88,False
2018-05-27,68,False
2018-06-03,74,False
2018-06-10,67,False
2018-06-17,63,False
2018-06-24,58,False
2018-07-01,78,False
2018-07-08,69,False
2018-07-15,75,False
2018-07-22,76,False
2018-07-29,85,False
2018-08-05,64,False
2018-08-12,64,False
2018-08-19,42,False
2018-08-26,78,False
2018-09-02,79,False
2018-09-09,69,False
2018-09-16,90,False
2018-09-23,72,False
2018-09-30,71,False
2018-10-07,71,False
2018-10-14,84,False
2018-10-21,59,False
2018-10-28,75,False
2018-11-04,77,False
2018-11-11,67,False
2018-11-18,70,False
2018-11-25,47,False
2018-12-02,80,False
2018-12-09,70,False
2018-12-16,81,False
2018-12-23,70,False
2018-12-30,55,False
2019-01-06,66,False
2019-01-13,71,False
2019-01-20,73,False
2019-01-27,72,False
2019-02-03,72,False
2019-02-10,72,False
2019-02-17,78,False
2019-02-24,92,False
2019-03-03,66,False
2019-03-10,68,False
2019-03-17,82,False
2019-03-24,62,False
2019-03-31,77,False
2019-04-07,65,False
2019-04-14,87,False
2019-04-21,67,False
2019-04-28,93,False
2019-05-05,67,False
2019-05-12,68,False
2019-05-19,75,False
2019-05-26,85,False
2019-06-02,68,False
2019-06-09,66,False
2019-06-16,78,False
2019-06-23,65,False
2019-06-30,78,False
2019-07-07,66,False
2019-07-14,91,False
2019-07-21,73,False
2019-07-28,64,False
2019-08-04,66,False
2019-08-11,58,False
2019-08-18,63,False
2019-08-25,74,False
2019-09-01,66,False
2019-09-08,77,False
2019-09-15,67,False
2019-09-22,51,False
2019-09-29,82,False
2019-10-06,77,False
2019-10-13,80,False
2019-10-20,88,False
2019-10-27,91,False
2019-11-03,79,False
2019-11-10,69,False
2019-11-17,93,False
2019-11-24,89,False
2019-12-01,67,False
2019-12-08,57,False
2019-12-15,70,False
2019-12-22,72,False
2019-12-29,71,False
2020-01-05,82,False
2020-01-12,77,False
2020-01-19,83,False
2020-01-26,89,False
2020-02-02,82,False
2020-02-09,90,False
2020-02-16,74,False
2020-02-23,55,False
2020-03-01,60,False
2020-03-08,66,False
2020-03-15,57,False
2020-03-22,53,False
2020-03-29,54,False
2020-04-05,79,False
2020-04-12,82,False
2020-04-19,67,False
2020-04-26,74,False
2020-05-03,76,False
2020-05-10,58,False
