geoName,geoCode,Einfamilienhaus
Burgenland,AT-1,43
Carinthia,AT-2,47
Lower Austria,AT-3,60
Salzburg,AT-5,70
Styria,AT-6,43
Tyrol,AT-7,60
Upper Austria,AT-4,38
Vienna,AT-9,51
Vorarlberg,AT-8,100
