geoName,geoCode,Einfamilienhaus
Baden-Württemberg,DE-BW,66
Bavaria,DE-BY,73
Berlin,DE-BE,74
Brandenburg,DE-BB,94
Bremen,DE-HB,73
Hamburg,DE-HH,63
Hesse,DE-HE,55
Lower Saxony,DE-NI,80
Mecklenburg-Vorpommern,DE-MV,91
North Rhine-Westphalia,DE-NW,72
Rhineland-Palatinate,DE-RP,77
Saarland,DE-SL,76
Saxony,DE-SN,89
Saxony-Anhalt,DE-ST,100
Schleswig-Holstein,DE-SH,81
Thuringia,DE-TH,96
