geoName,geoCode,gruppo musicale
Abruzzo,IT-65,62
Aosta,IT-23,0
Apulia,IT-75,53
Basilicata,IT-77,91
Calabria,IT-78,55
Campania,IT-72,50
Emilia-Romagna,IT-45,69
Friuli-Venezia Giulia,IT-36,99
Lazio,IT-62,73
Liguria,IT-42,73
Lombardy,IT-25,72
Marche,IT-57,100
Molise,IT-67,83
Piedmont,IT-21,70
Sardinia,IT-88,79
Sicily,IT-82,51
Trentino-Alto Adige/South Tyrol,IT-32,60
Tuscany,IT-52,83
Umbria,IT-55,72
Veneto,IT-34,83
