geoName,geoCode,Kellerfenster
Burgenland,AT-1,0
Carinthia,AT-2,75
Lower Austria,AT-3,76
Salzburg,AT-5,65
Styria,AT-6,100
Tyrol,AT-7,22
Upper Austria,AT-4,51
Vienna,AT-9,16
Vorarlberg,AT-8,0
