,year,month,ticket_geo_region_name,ticket_taxonomy_tag_name,No_of_tickets
0,2018,1,Abruzzo,Aria Condizionata,20
1,2018,1,Abruzzo,Cura giardino,8
2,2018,1,Abruzzo,Imbianchino,35
3,2018,1,Abruzzo,Installazione piscina,4
4,2018,1,Abruzzo,Installazione tende da sole,3
5,2018,1,Abruzzo,Installazione zanzariera,2
6,2018,1,Abruzzo,Lezioni di inglese,58
7,2018,1,Abruzzo,Personal trainer,56
8,2018,1,Abruzzo,Psicologo,50
9,2018,1,Abruzzo,Sgombero cantine e soffitte,7
10,2018,1,Basilicata,Aria Condizionata,4
11,2018,1,Basilicata,Cura giardino,2
12,2018,1,Basilicata,Imbianchino,5
13,2018,1,Basilicata,Lezioni di inglese,11
14,2018,1,Basilicata,Personal trainer,12
15,2018,1,Basilicata,Psicologo,13
16,2018,1,Calabria,Aria Condizionata,13
17,2018,1,Calabria,Cura giardino,5
18,2018,1,Calabria,Imbianchino,16
19,2018,1,Calabria,Installazione pannelli solari,4
20,2018,1,Calabria,Installazione piscina,3
21,2018,1,Calabria,Lezioni di inglese,43
22,2018,1,Calabria,Personal trainer,49
23,2018,1,Calabria,Psicologo,43
24,2018,1,Calabria,Sgombero cantine e soffitte,3
25,2018,1,Campania,Aria Condizionata,59
26,2018,1,Campania,Cura giardino,6
27,2018,1,Campania,Imbianchino,116
28,2018,1,Campania,Installazione pannelli solari,17
29,2018,1,Campania,Installazione piscina,7
30,2018,1,Campania,Installazione tende da sole,2
31,2018,1,Campania,Installazione zanzariera,1
32,2018,1,Campania,Lezioni di inglese,193
33,2018,1,Campania,Personal trainer,257
34,2018,1,Campania,Psicologo,202
35,2018,1,Campania,Sgombero cantine e soffitte,5
36,2018,1,Emilia-Romagna,Aria Condizionata,165
37,2018,1,Emilia-Romagna,Cura giardino,29
38,2018,1,Emilia-Romagna,Imbianchino,243
39,2018,1,Emilia-Romagna,Installazione pannelli solari,8
40,2018,1,Emilia-Romagna,Installazione piscina,9
41,2018,1,Emilia-Romagna,Installazione tende da sole,3
42,2018,1,Emilia-Romagna,Installazione zanzariera,27
43,2018,1,Emilia-Romagna,Lezioni di inglese,207
44,2018,1,Emilia-Romagna,Personal trainer,349
45,2018,1,Emilia-Romagna,Psicologo,196
46,2018,1,Emilia-Romagna,Sgombero cantine e soffitte,10
47,2018,1,Friuli Venezia Giulia,Aria Condizionata,23
48,2018,1,Friuli Venezia Giulia,Cura giardino,12
49,2018,1,Friuli Venezia Giulia,Imbianchino,47
50,2018,1,Friuli Venezia Giulia,Installazione pannelli solari,4
51,2018,1,Friuli Venezia Giulia,Installazione piscina,1
52,2018,1,Friuli Venezia Giulia,Installazione zanzariera,3
53,2018,1,Friuli Venezia Giulia,Lezioni di inglese,47
54,2018,1,Friuli Venezia Giulia,Personal trainer,76
55,2018,1,Friuli Venezia Giulia,Psicologo,28
56,2018,1,Friuli Venezia Giulia,Sgombero cantine e soffitte,3
57,2018,1,Lazio,Aria Condizionata,122
58,2018,1,Lazio,Cura giardino,42
59,2018,1,Lazio,Imbianchino,217
60,2018,1,Lazio,Installazione pannelli solari,10
61,2018,1,Lazio,Installazione piscina,11
62,2018,1,Lazio,Installazione tende da sole,7
63,2018,1,Lazio,Installazione zanzariera,11
64,2018,1,Lazio,Lezioni di inglese,235
65,2018,1,Lazio,Personal trainer,415
66,2018,1,Lazio,Psicologo,202
67,2018,1,Lazio,Sgombero cantine e soffitte,14
68,2018,1,Liguria,Aria Condizionata,33
69,2018,1,Liguria,Cura giardino,9
70,2018,1,Liguria,Imbianchino,50
71,2018,1,Liguria,Installazione pannelli solari,3
72,2018,1,Liguria,Installazione tende da sole,1
73,2018,1,Liguria,Installazione zanzariera,3
74,2018,1,Liguria,Lezioni di inglese,54
75,2018,1,Liguria,Personal trainer,84
76,2018,1,Liguria,Psicologo,43
77,2018,1,Liguria,Sgombero cantine e soffitte,5
78,2018,1,Lombardia,Aria Condizionata,251
79,2018,1,Lombardia,Cura giardino,69
80,2018,1,Lombardia,Imbianchino,564
81,2018,1,Lombardia,Installazione pannelli solari,20
82,2018,1,Lombardia,Installazione piscina,9
83,2018,1,Lombardia,Installazione tende da sole,11
84,2018,1,Lombardia,Installazione zanzariera,57
85,2018,1,Lombardia,Lezioni di inglese,549
86,2018,1,Lombardia,Personal trainer,809
87,2018,1,Lombardia,Psicologo,388
88,2018,1,Lombardia,Sgombero cantine e soffitte,14
89,2018,1,Marche,Aria Condizionata,35
90,2018,1,Marche,Cura giardino,14
91,2018,1,Marche,Imbianchino,36
92,2018,1,Marche,Installazione tende da sole,4
93,2018,1,Marche,Installazione zanzariera,5
94,2018,1,Marche,Lezioni di inglese,91
95,2018,1,Marche,Personal trainer,84
96,2018,1,Marche,Psicologo,55
97,2018,1,Marche,Sgombero cantine e soffitte,5
98,2018,1,Molise,Imbianchino,2
99,2018,1,Molise,Installazione zanzariera,1
100,2018,1,Molise,Lezioni di inglese,4
101,2018,1,Molise,Personal trainer,2
102,2018,1,Molise,Psicologo,3
103,2018,1,Piemonte,Aria Condizionata,74
104,2018,1,Piemonte,Cura giardino,15
105,2018,1,Piemonte,Imbianchino,151
106,2018,1,Piemonte,Installazione pannelli solari,4
107,2018,1,Piemonte,Installazione piscina,8
108,2018,1,Piemonte,Installazione zanzariera,11
109,2018,1,Piemonte,Lezioni di inglese,176
110,2018,1,Piemonte,Personal trainer,268
111,2018,1,Piemonte,Psicologo,159
112,2018,1,Piemonte,Sgombero cantine e soffitte,9
113,2018,1,Puglia,Aria Condizionata,28
114,2018,1,Puglia,Cura giardino,14
115,2018,1,Puglia,Imbianchino,72
116,2018,1,Puglia,Installazione pannelli solari,10
117,2018,1,Puglia,Installazione piscina,14
118,2018,1,Puglia,Installazione zanzariera,2
119,2018,1,Puglia,Lezioni di inglese,112
120,2018,1,Puglia,Personal trainer,149
121,2018,1,Puglia,Psicologo,106
122,2018,1,Sardegna,Aria Condizionata,47
123,2018,1,Sardegna,Cura giardino,7
124,2018,1,Sardegna,Imbianchino,33
125,2018,1,Sardegna,Installazione pannelli solari,12
126,2018,1,Sardegna,Installazione tende da sole,1
127,2018,1,Sardegna,Installazione zanzariera,4
128,2018,1,Sardegna,Lezioni di inglese,49
129,2018,1,Sardegna,Personal trainer,67
130,2018,1,Sardegna,Psicologo,43
131,2018,1,Sardegna,Sgombero cantine e soffitte,1
132,2018,1,Sicilia,Aria Condizionata,32
133,2018,1,Sicilia,Cura giardino,18
