"id","name","name","name","elite_keywords","top_keywords"
101,Dächer reparieren und warten,Dachdeckung,Dachdecker,"a:3:{i:0;s:10:""Dachdecker"";i:1;s:16:""Dachdeckerfirmen"";i:2;s:17:""Dachdeckermeister"";}","a:27:{i:0;s:12:""Dachklempner"";i:1;s:13:""Dachsanierung"";i:2;s:16:""Dachdeckerfirmen"";i:3;s:13:""Dachreparatur"";i:4;s:9:""Flachdach"";i:5;s:17:""Dachdeckermeister"";i:6;s:10:""dachdecken"";i:7;s:15:""Dachdeckerfirma"";i:8;s:20:""Dachdecker Flachdach"";i:9;s:17:""Dachdeckerbetrieb"";i:10;s:19:""Dachdecker Spengler"";i:11;s:19:""Dachdecker Arbeiten"";i:12;s:26:""Dachdecker für Gartenhaus"";i:13;s:23:""Dachdecker und Spengler"";i:14;s:19:""Spengler Dachdecker"";i:15;s:8:""Spengler"";i:16;s:10:""Spenglerei"";i:17;s:16:""Spenglerarbeiten"";i:18;s:21:""Dachdecken Gartenhaus"";i:19;s:20:""Dachdecken Dachpappe"";i:20;s:24:""Dachdecken mit Dachpappe"";i:21;s:21:""Gartenhaus Dachdecken"";i:22;s:31:""Dachdecken mit Bitumenschindeln"";i:23;s:22:""Dachdecken Gartenlaube"";i:24;s:20:""Dachdecken mit Blech"";i:25;s:18:""richtig Dachdecken"";i:26;s:10:""Dachdecker"";}"
101,Dächer reparieren und warten,Dachdeckung,Dachbeschichtung,"a:3:{i:0;s:16:""Dachbeschichtung"";i:1;s:12:""Dachklempner"";i:2;s:13:""Bauklempnerei"";}","a:9:{i:0;s:19:""Dachrinne montieren"";i:1;s:22:""Schornsteinverkleidung"";i:2;s:13:""Bauklempnerei"";i:3;s:12:""Dachklempner"";i:4;s:20:""Dacheindeckung Blech"";i:5;s:23:""Dachschräge verkleiden"";i:6;s:15:""Dachbedeckungen"";i:7;s:28:""Schornstein verkleiden innen"";i:8;s:16:""Dachbeschichtung"";}"
101,Dächer reparieren und warten,Dachdeckung,Dachsanierung,"a:3:{i:0;s:13:""Dachsanierung"";i:1;s:16:""Dachbeschichtung"";i:2;s:18:""Flachdachsanierung"";}","a:9:{i:0;s:19:""Flachdachabdichtung"";i:1;s:15:""Asbestsanierung"";i:2;s:14:""Dachisolierung"";i:3;s:14:""Dachabdichtung"";i:4;s:21:""Garagendach abdichten"";i:5;s:14:""Dach isolieren"";i:6;s:18:""Flachdachsanierung"";i:7;s:13:""Dachsanierung"";i:8;s:16:""Dachbeschichtung"";}"
102,Dächer sanieren und decken,Dachdeckung,Dachdecker,"a:3:{i:0;s:10:""Dachdecker"";i:1;s:16:""Dachdeckerfirmen"";i:2;s:17:""Dachdeckermeister"";}","a:27:{i:0;s:12:""Dachklempner"";i:1;s:13:""Dachsanierung"";i:2;s:16:""Dachdeckerfirmen"";i:3;s:13:""Dachreparatur"";i:4;s:9:""Flachdach"";i:5;s:17:""Dachdeckermeister"";i:6;s:10:""dachdecken"";i:7;s:15:""Dachdeckerfirma"";i:8;s:20:""Dachdecker Flachdach"";i:9;s:17:""Dachdeckerbetrieb"";i:10;s:19:""Dachdecker Spengler"";i:11;s:19:""Dachdecker Arbeiten"";i:12;s:26:""Dachdecker für Gartenhaus"";i:13;s:23:""Dachdecker und Spengler"";i:14;s:19:""Spengler Dachdecker"";i:15;s:8:""Spengler"";i:16;s:10:""Spenglerei"";i:17;s:16:""Spenglerarbeiten"";i:18;s:21:""Dachdecken Gartenhaus"";i:19;s:20:""Dachdecken Dachpappe"";i:20;s:24:""Dachdecken mit Dachpappe"";i:21;s:21:""Gartenhaus Dachdecken"";i:22;s:31:""Dachdecken mit Bitumenschindeln"";i:23;s:22:""Dachdecken Gartenlaube"";i:24;s:20:""Dachdecken mit Blech"";i:25;s:18:""richtig Dachdecken"";i:26;s:10:""Dachdecker"";}"
102,Dächer sanieren und decken,Dachdeckung,Dachbeschichtung,"a:3:{i:0;s:16:""Dachbeschichtung"";i:1;s:12:""Dachklempner"";i:2;s:13:""Bauklempnerei"";}","a:9:{i:0;s:19:""Dachrinne montieren"";i:1;s:22:""Schornsteinverkleidung"";i:2;s:13:""Bauklempnerei"";i:3;s:12:""Dachklempner"";i:4;s:20:""Dacheindeckung Blech"";i:5;s:23:""Dachschräge verkleiden"";i:6;s:15:""Dachbedeckungen"";i:7;s:28:""Schornstein verkleiden innen"";i:8;s:16:""Dachbeschichtung"";}"
102,Dächer sanieren und decken,Dachdeckung,Dachsanierung,"a:3:{i:0;s:13:""Dachsanierung"";i:1;s:16:""Dachbeschichtung"";i:2;s:18:""Flachdachsanierung"";}","a:9:{i:0;s:19:""Flachdachabdichtung"";i:1;s:15:""Asbestsanierung"";i:2;s:14:""Dachisolierung"";i:3;s:14:""Dachabdichtung"";i:4;s:21:""Garagendach abdichten"";i:5;s:14:""Dach isolieren"";i:6;s:18:""Flachdachsanierung"";i:7;s:13:""Dachsanierung"";i:8;s:16:""Dachbeschichtung"";}"
103,Dächer ab- und verdichten,Dachdeckung,Dachdecker,"a:3:{i:0;s:10:""Dachdecker"";i:1;s:16:""Dachdeckerfirmen"";i:2;s:17:""Dachdeckermeister"";}","a:27:{i:0;s:12:""Dachklempner"";i:1;s:13:""Dachsanierung"";i:2;s:16:""Dachdeckerfirmen"";i:3;s:13:""Dachreparatur"";i:4;s:9:""Flachdach"";i:5;s:17:""Dachdeckermeister"";i:6;s:10:""dachdecken"";i:7;s:15:""Dachdeckerfirma"";i:8;s:20:""Dachdecker Flachdach"";i:9;s:17:""Dachdeckerbetrieb"";i:10;s:19:""Dachdecker Spengler"";i:11;s:19:""Dachdecker Arbeiten"";i:12;s:26:""Dachdecker für Gartenhaus"";i:13;s:23:""Dachdecker und Spengler"";i:14;s:19:""Spengler Dachdecker"";i:15;s:8:""Spengler"";i:16;s:10:""Spenglerei"";i:17;s:16:""Spenglerarbeiten"";i:18;s:21:""Dachdecken Gartenhaus"";i:19;s:20:""Dachdecken Dachpappe"";i:20;s:24:""Dachdecken mit Dachpappe"";i:21;s:21:""Gartenhaus Dachdecken"";i:22;s:31:""Dachdecken mit Bitumenschindeln"";i:23;s:22:""Dachdecken Gartenlaube"";i:24;s:20:""Dachdecken mit Blech"";i:25;s:18:""richtig Dachdecken"";i:26;s:10:""Dachdecker"";}"
103,Dächer ab- und verdichten,Dachdeckung,Dachbeschichtung,"a:3:{i:0;s:16:""Dachbeschichtung"";i:1;s:12:""Dachklempner"";i:2;s:13:""Bauklempnerei"";}","a:9:{i:0;s:19:""Dachrinne montieren"";i:1;s:22:""Schornsteinverkleidung"";i:2;s:13:""Bauklempnerei"";i:3;s:12:""Dachklempner"";i:4;s:20:""Dacheindeckung Blech"";i:5;s:23:""Dachschräge verkleiden"";i:6;s:15:""Dachbedeckungen"";i:7;s:28:""Schornstein verkleiden innen"";i:8;s:16:""Dachbeschichtung"";}"
103,Dächer ab- und verdichten,Dachdeckung,Dachsanierung,"a:3:{i:0;s:13:""Dachsanierung"";i:1;s:16:""Dachbeschichtung"";i:2;s:18:""Flachdachsanierung"";}","a:9:{i:0;s:19:""Flachdachabdichtung"";i:1;s:15:""Asbestsanierung"";i:2;s:14:""Dachisolierung"";i:3;s:14:""Dachabdichtung"";i:4;s:21:""Garagendach abdichten"";i:5;s:14:""Dach isolieren"";i:6;s:18:""Flachdachsanierung"";i:7;s:13:""Dachsanierung"";i:8;s:16:""Dachbeschichtung"";}"
114,Schalldämmung installieren,Schalldämmung,,,
