tag_id,tag_name,service_name,bc_name,elite_keywords,top_keywords
120,Um- oder Anbau,Renovierungsarbeiten Wohnraum,Altbausanierung,"a:3:{i:0;s:15:""Altbausanierung"";i:1;s:17:""Wohnungssanierung"";i:2;s:12:""Bausanierung"";}","a:10:{i:0;s:15:""Asbestsanierung"";i:1;s:12:""Bausanierung"";i:2;s:15:""Balkon sanieren"";i:3;s:18:""Wohnung renovieren"";i:4;s:13:""Haussanierung"";i:5;s:17:""Schimmelsanierung"";i:6;s:15:""Altbau sanieren"";i:7;s:15:""Kellersanierung"";i:8;s:15:""Altbausanierung"";i:9;s:17:""Wohnungssanierung"";}"
3,Gebäudereinigung und -wartung,Gebäudereinigung,Reinigungskraft,"a:3:{i:0;s:17:""Gebäudereinigung"";i:1;s:15:""Reinigungskraft"";i:2;s:15:""Reinigungsfirma"";}","a:16:{i:0;s:15:""Reinigungsfirma"";i:1;s:14:""Büroreinigung"";i:2;s:18:""Hausmeisterservice"";i:3;s:11:""Hausmeister"";i:4;s:19:""Unterhaltsreinigung"";i:5;s:19:""Facility Management"";i:6;s:18:""Hausmeisterdienste"";i:7;s:17:""Reinigungsservice"";i:8;s:12:""Baureinigung"";i:9;s:9:""Putzkraft"";i:10;s:14:""Grundreinigung"";i:11;s:24:""Gebäudereinigungsfirmen"";i:12;s:17:""Wohnungsreinigung"";i:13;s:11:""Putzservice"";i:14;s:17:""Gebäudereinigung"";i:15;s:15:""Reinigungskraft"";}"
3,Gebäudereinigung und -wartung,Gebäudereinigung,Trockeneisstrahlen und Eisstrahlen,"a:3:{i:0;s:18:""Trockeneisstrahlen"";i:1;s:11:""Eisstrahlen"";i:2;s:19:""Trockeneisreinigung"";}","a:18:{i:0;s:24:""Trockeneisreinigung Auto"";i:1;s:27:""Trockeneisstrahlen Oldtimer"";i:2;s:19:""Trockeneis reinigen"";i:3;s:23:""Trockeneisstrahlen Auto"";i:4;s:24:""Motor Trockeneisstrahlen"";i:5;s:29:""Unterboden Trockeneisstrahlen"";i:6;s:23:""Trockeneisstrahlen Holz"";i:7;s:29:""Trockeneisstrahlen Unterboden"";i:8;s:24:""Trockeneis reinigen Auto"";i:9;s:22:""Unterboden Eisstrahlen"";i:10;s:9:""Eisstrahl"";i:11;s:24:""Reinigung mit Trockeneis"";i:12;s:12:""Eis Strahlen"";i:13;s:23:""Trockeneis Motorwäsche"";i:14;s:27:""Motorwäsche mit Trockeneis"";i:15;s:18:""Trockeneisstrahlen"";i:16;s:11:""Eisstrahlen"";i:17;s:19:""Trockeneisreinigung"";}"
3,Gebäudereinigung und -wartung,Gebäudereinigung,Entsorgung,"a:3:{i:0;s:10:""Entsorgung"";i:1;s:12:""Recyclinghof"";i:2;s:15:""Müllentsorgung"";}","a:10:{i:0;s:15:""Müllentsorgung"";i:1;s:18:""Styropor entsorgen"";i:2;s:16:""Abfallentsorgung"";i:3;s:19:""Altreifenentsorgung"";i:4;s:16:""Altöl entsorgen"";i:5;s:24:""Elektroschrott entsorgen"";i:6;s:18:""Matratze entsorgen"";i:7;s:19:""Entsorgungsbetriebe"";i:8;s:10:""Entsorgung"";i:9;s:12:""Recyclinghof"";}"
8,Umzug,Umzugsunternehmen,,,
569,Hubarbeitsbühnen mieten,Umzugsunternehmen,,,
9,Entrümpelung allgemein,Entrümpelung,Entrümpelung,"a:3:{i:0;s:13:""Entrümpelung"";i:1;s:18:""Keller entrümpeln"";i:2;s:19:""Kellerentrümpelung"";}","a:23:{i:0;s:19:""Entrümpelungsfirma"";i:1;s:21:""Wohnungsentrümpelung"";i:2;s:8:""Räumung"";i:3;s:16:""Wohnungsräumung"";i:4;s:19:""Wohnung entrümpeln"";i:5;s:20:""Entrümpelungsdienst"";i:6;s:21:""Entrümpelungsservice"";i:7;s:17:""Hausentrümpelung"";i:8;s:25:""Entrümpelungsunternehmen"";i:9;s:33:""Entrümpelung Haushaltsauflösung"";i:10;s:25:""Messi Wohnung entrümpeln"";i:11;s:33:""Haushaltsauflösung Entrümpelung"";i:12;s:19:""Umzug Entrümpelung"";i:13;s:20:""Entrümpelung Keller"";i:14;s:21:""Entrümpelung Wohnung"";i:15;s:22:""Haushaltsentrümpelung"";i:16;s:20:""Messie Entrümpelung"";i:17;s:25:""Keller entrümpeln lassen"";i:18;s:23:""Umzug und Entrümpelung"";i:19;s:24:""Entsorgung Entrümpelung"";i:20;s:13:""Entrümpelung"";i:21;s:18:""Keller entrümpeln"";i:22;s:19:""Kellerentrümpelung"";}"
565,Wohnung entrümpeln,Entrümpelung,Entrümpelung,"a:3:{i:0;s:13:""Entrümpelung"";i:1;s:18:""Keller entrümpeln"";i:2;s:19:""Kellerentrümpelung"";}","a:23:{i:0;s:19:""Entrümpelungsfirma"";i:1;s:21:""Wohnungsentrümpelung"";i:2;s:8:""Räumung"";i:3;s:16:""Wohnungsräumung"";i:4;s:19:""Wohnung entrümpeln"";i:5;s:20:""Entrümpelungsdienst"";i:6;s:21:""Entrümpelungsservice"";i:7;s:17:""Hausentrümpelung"";i:8;s:25:""Entrümpelungsunternehmen"";i:9;s:33:""Entrümpelung Haushaltsauflösung"";i:10;s:25:""Messi Wohnung entrümpeln"";i:11;s:33:""Haushaltsauflösung Entrümpelung"";i:12;s:19:""Umzug Entrümpelung"";i:13;s:20:""Entrümpelung Keller"";i:14;s:21:""Entrümpelung Wohnung"";i:15;s:22:""Haushaltsentrümpelung"";i:16;s:20:""Messie Entrümpelung"";i:17;s:25:""Keller entrümpeln lassen"";i:18;s:23:""Umzug und Entrümpelung"";i:19;s:24:""Entsorgung Entrümpelung"";i:20;s:13:""Entrümpelung"";i:21;s:18:""Keller entrümpeln"";i:22;s:19:""Kellerentrümpelung"";}"
566,Gebrauchte Möbel abholen,Entrümpelung,Entrümpelung,"a:3:{i:0;s:13:""Entrümpelung"";i:1;s:18:""Keller entrümpeln"";i:2;s:19:""Kellerentrümpelung"";}","a:23:{i:0;s:19:""Entrümpelungsfirma"";i:1;s:21:""Wohnungsentrümpelung"";i:2;s:8:""Räumung"";i:3;s:16:""Wohnungsräumung"";i:4;s:19:""Wohnung entrümpeln"";i:5;s:20:""Entrümpelungsdienst"";i:6;s:21:""Entrümpelungsservice"";i:7;s:17:""Hausentrümpelung"";i:8;s:25:""Entrümpelungsunternehmen"";i:9;s:33:""Entrümpelung Haushaltsauflösung"";i:10;s:25:""Messi Wohnung entrümpeln"";i:11;s:33:""Haushaltsauflösung Entrümpelung"";i:12;s:19:""Umzug Entrümpelung"";i:13;s:20:""Entrümpelung Keller"";i:14;s:21:""Entrümpelung Wohnung"";i:15;s:22:""Haushaltsentrümpelung"";i:16;s:20:""Messie Entrümpelung"";i:17;s:25:""Keller entrümpeln lassen"";i:18;s:23:""Umzug und Entrümpelung"";i:19;s:24:""Entsorgung Entrümpelung"";i:20;s:13:""Entrümpelung"";i:21;s:18:""Keller entrümpeln"";i:22;s:19:""Kellerentrümpelung"";}"
567,Keller oder Dachboden entrümpeln,Entrümpelung,Entrümpelung,"a:3:{i:0;s:13:""Entrümpelung"";i:1;s:18:""Keller entrümpeln"";i:2;s:19:""Kellerentrümpelung"";}","a:23:{i:0;s:19:""Entrümpelungsfirma"";i:1;s:21:""Wohnungsentrümpelung"";i:2;s:8:""Räumung"";i:3;s:16:""Wohnungsräumung"";i:4;s:19:""Wohnung entrümpeln"";i:5;s:20:""Entrümpelungsdienst"";i:6;s:21:""Entrümpelungsservice"";i:7;s:17:""Hausentrümpelung"";i:8;s:25:""Entrümpelungsunternehmen"";i:9;s:33:""Entrümpelung Haushaltsauflösung"";i:10;s:25:""Messi Wohnung entrümpeln"";i:11;s:33:""Haushaltsauflösung Entrümpelung"";i:12;s:19:""Umzug Entrümpelung"";i:13;s:20:""Entrümpelung Keller"";i:14;s:21:""Entrümpelung Wohnung"";i:15;s:22:""Haushaltsentrümpelung"";i:16;s:20:""Messie Entrümpelung"";i:17;s:25:""Keller entrümpeln lassen"";i:18;s:23:""Umzug und Entrümpelung"";i:19;s:24:""Entsorgung Entrümpelung"";i:20;s:13:""Entrümpelung"";i:21;s:18:""Keller entrümpeln"";i:22;s:19:""Kellerentrümpelung"";}"
