year,month,ticket_geo_region_name,ticket_taxonomy_tag_name,No_of_tickets
2018,1,Abruzzo,Homecare,64
2018,1,Abruzzo,Outdoor,15
2018,1,Abruzzo,Wellness,164
2018,1,Basilicata,Homecare,9
2018,1,Basilicata,Outdoor,2
2018,1,Basilicata,Wellness,36
2018,1,Calabria,Homecare,32
2018,1,Calabria,Outdoor,12
2018,1,Calabria,Wellness,135
2018,1,Campania,Homecare,181
2018,1,Campania,Outdoor,32
2018,1,Campania,Wellness,652
2018,1,Emilia-Romagna,Homecare,445
2018,1,Emilia-Romagna,Outdoor,49
2018,1,Emilia-Romagna,Wellness,752
2018,1,Friuli Venezia Giulia,Homecare,76
2018,1,Friuli Venezia Giulia,Outdoor,17
2018,1,Friuli Venezia Giulia,Wellness,151
2018,1,Lazio,Homecare,364
2018,1,Lazio,Outdoor,70
2018,1,Lazio,Wellness,852
2018,1,Liguria,Homecare,91
2018,1,Liguria,Outdoor,13
2018,1,Liguria,Wellness,181
2018,1,Lombardia,Homecare,886
2018,1,Lombardia,Outdoor,109
2018,1,Lombardia,Wellness,1746
2018,1,Marche,Homecare,81
2018,1,Marche,Outdoor,18
2018,1,Marche,Wellness,230
2018,1,Molise,Homecare,3
2018,1,Molise,Wellness,9
2018,1,Piemonte,Homecare,245
2018,1,Piemonte,Outdoor,27
2018,1,Piemonte,Wellness,603
2018,1,Puglia,Homecare,102
2018,1,Puglia,Outdoor,38
2018,1,Puglia,Wellness,367
2018,1,Sardegna,Homecare,85
2018,1,Sardegna,Outdoor,20
2018,1,Sardegna,Wellness,159
2018,1,Sicilia,Homecare,107
2018,1,Sicilia,Outdoor,64
2018,1,Sicilia,Wellness,433
2018,1,Toscana,Homecare,247
2018,1,Toscana,Outdoor,34
2018,1,Toscana,Wellness,580
2018,1,Trentino-Alto Adige,Homecare,41
2018,1,Trentino-Alto Adige,Outdoor,11
2018,1,Trentino-Alto Adige,Wellness,106
2018,1,Umbria,Homecare,39
2018,1,Umbria,Outdoor,11
2018,1,Umbria,Wellness,111
2018,1,Valle d'Aosta,Homecare,1
2018,1,Valle d'Aosta,Wellness,10
2018,1,Veneto,Homecare,322
2018,1,Veneto,Outdoor,50
2018,1,Veneto,Wellness,647
2018,2,Abruzzo,Homecare,88
2018,2,Abruzzo,Outdoor,10
2018,2,Abruzzo,Wellness,139
2018,2,Basilicata,Homecare,14
2018,2,Basilicata,Outdoor,6
2018,2,Basilicata,Wellness,32
2018,2,Calabria,Homecare,44
2018,2,Calabria,Outdoor,20
2018,2,Calabria,Wellness,100
2018,2,Campania,Homecare,206
2018,2,Campania,Outdoor,32
2018,2,Campania,Wellness,522
2018,2,Emilia-Romagna,Homecare,493
2018,2,Emilia-Romagna,Outdoor,66
2018,2,Emilia-Romagna,Wellness,604
2018,2,Friuli Venezia Giulia,Homecare,90
2018,2,Friuli Venezia Giulia,Outdoor,11
2018,2,Friuli Venezia Giulia,Wellness,127
2018,2,Lazio,Homecare,489
2018,2,Lazio,Outdoor,62
2018,2,Lazio,Wellness,635
2018,2,Liguria,Homecare,109
2018,2,Liguria,Outdoor,15
2018,2,Liguria,Wellness,134
2018,2,Lombardia,Homecare,1002
2018,2,Lombardia,Outdoor,116
2018,2,Lombardia,Wellness,1333
2018,2,Marche,Homecare,86
2018,2,Marche,Outdoor,10
2018,2,Marche,Wellness,155
2018,2,Molise,Homecare,4
2018,2,Molise,Outdoor,1
2018,2,Molise,Wellness,15
2018,2,Piemonte,Homecare,301
2018,2,Piemonte,Outdoor,33
2018,2,Piemonte,Wellness,487
2018,2,Puglia,Homecare,150
2018,2,Puglia,Outdoor,36
2018,2,Puglia,Wellness,312
2018,2,Sardegna,Homecare,86
2018,2,Sardegna,Outdoor,16
2018,2,Sardegna,Wellness,120
2018,2,Sicilia,Homecare,146
2018,2,Sicilia,Outdoor,51
2018,2,Sicilia,Wellness,331
2018,2,Toscana,Homecare,281
2018,2,Toscana,Outdoor,37
2018,2,Toscana,Wellness,472
2018,2,Trentino-Alto Adige,Homecare,31
2018,2,Trentino-Alto Adige,Outdoor,4
2018,2,Trentino-Alto Adige,Wellness,75
2018,2,Umbria,Homecare,46
2018,2,Umbria,Outdoor,12
2018,2,Umbria,Wellness,90
2018,2,Valle d'Aosta,Homecare,7
2018,2,Valle d'Aosta,Wellness,6
2018,2,Veneto,Homecare,340
2018,2,Veneto,Outdoor,55
2018,2,Veneto,Wellness,552
2018,3,Abruzzo,Homecare,96
2018,3,Abruzzo,Outdoor,18
2018,3,Abruzzo,Wellness,116
2018,3,Basilicata,Homecare,14
2018,3,Basilicata,Outdoor,3
2018,3,Basilicata,Wellness,32
2018,3,Calabria,Homecare,61
2018,3,Calabria,Outdoor,26
2018,3,Calabria,Wellness,99
2018,3,Campania,Homecare,275
2018,3,Campania,Outdoor,28
2018,3,Campania,Wellness,614
2018,3,Emilia-Romagna,Homecare,742
2018,3,Emilia-Romagna,Outdoor,101
2018,3,Emilia-Romagna,Wellness,741
2018,3,Friuli Venezia Giulia,Homecare,124
2018,3,Friuli Venezia Giulia,Outdoor,28
2018,3,Friuli Venezia Giulia,Wellness,105
2018,3,Lazio,Homecare,581
2018,3,Lazio,Outdoor,129
2018,3,Lazio,Wellness,714
2018,3,Liguria,Homecare,152
2018,3,Liguria,Outdoor,20
2018,3,Liguria,Wellness,173
2018,3,Lombardia,Homecare,1261
2018,3,Lombardia,Outdoor,165
2018,3,Lombardia,Wellness,1520
2018,3,Marche,Homecare,116
2018,3,Marche,Outdoor,19
2018,3,Marche,Wellness,134
2018,3,Molise,Homecare,4
2018,3,Molise,Wellness,4
2018,3,Piemonte,Homecare,431
2018,3,Piemonte,Outdoor,63
2018,3,Piemonte,Wellness,496
2018,3,Puglia,Homecare,219
2018,3,Puglia,Outdoor,56
2018,3,Puglia,Wellness,332
2018,3,Sardegna,Homecare,99
2018,3,Sardegna,Outdoor,26
2018,3,Sardegna,Wellness,142
2018,3,Sicilia,Homecare,180
2018,3,Sicilia,Outdoor,62
2018,3,Sicilia,Wellness,361
2018,3,Toscana,Homecare,361
2018,3,Toscana,Outdoor,86
2018,3,Toscana,Wellness,476
2018,3,Trentino-Alto Adige,Homecare,49
2018,3,Trentino-Alto Adige,Outdoor,5
2018,3,Trentino-Alto Adige,Wellness,85
2018,3,Umbria,Homecare,68
2018,3,Umbria,Outdoor,16
2018,3,Umbria,Wellness,96
2018,3,Valle d'Aosta,Homecare,13
2018,3,Valle d'Aosta,Wellness,8
2018,3,Veneto,Homecare,447
2018,3,Veneto,Outdoor,75
2018,3,Veneto,Wellness,619
2018,4,Abruzzo,Homecare,127
2018,4,Abruzzo,Outdoor,51
2018,4,Abruzzo,Wellness,123
2018,4,Basilicata,Homecare,14
2018,4,Basilicata,Outdoor,9
2018,4,Basilicata,Wellness,28
2018,4,Calabria,Homecare,73
2018,4,Calabria,Outdoor,42
2018,4,Calabria,Wellness,131
2018,4,Campania,Homecare,291
2018,4,Campania,Outdoor,159
2018,4,Campania,Wellness,515
2018,4,Emilia-Romagna,Homecare,914
2018,4,Emilia-Romagna,Outdoor,287
2018,4,Emilia-Romagna,Wellness,665
2018,4,Friuli Venezia Giulia,Homecare,147
2018,4,Friuli Venezia Giulia,Outdoor,66
2018,4,Friuli Venezia Giulia,Wellness,120
2018,4,Lazio,Homecare,786
2018,4,Lazio,Outdoor,404
2018,4,Lazio,Wellness,639
2018,4,Liguria,Homecare,174
2018,4,Liguria,Outdoor,64
2018,4,Liguria,Wellness,166
2018,4,Lombardia,Homecare,1897
2018,4,Lombardia,Outdoor,536
2018,4,Lombardia,Wellness,1258
2018,4,Marche,Homecare,136
2018,4,Marche,Outdoor,57
2018,4,Marche,Wellness,151
2018,4,Molise,Homecare,19
2018,4,Molise,Outdoor,5
2018,4,Molise,Wellness,13
2018,4,Piemonte,Homecare,584
2018,4,Piemonte,Outdoor,174
2018,4,Piemonte,Wellness,466
2018,4,Puglia,Homecare,222
2018,4,Puglia,Outdoor,134
2018,4,Puglia,Wellness,251
2018,4,Sardegna,Homecare,123
2018,4,Sardegna,Outdoor,68
2018,4,Sardegna,Wellness,125
2018,4,Sicilia,Homecare,200
2018,4,Sicilia,Outdoor,155
2018,4,Sicilia,Wellness,380
2018,4,Toscana,Homecare,450
2018,4,Toscana,Outdoor,198
2018,4,Toscana,Wellness,449
2018,4,Trentino-Alto Adige,Homecare,65
2018,4,Trentino-Alto Adige,Outdoor,22
2018,4,Trentino-Alto Adige,Wellness,72
2018,4,Umbria,Homecare,83
2018,4,Umbria,Outdoor,28
2018,4,Umbria,Wellness,105
2018,4,Valle d'Aosta,Homecare,13
2018,4,Valle d'Aosta,Outdoor,3
2018,4,Valle d'Aosta,Wellness,7
2018,4,Veneto,Homecare,600
2018,4,Veneto,Outdoor,228
2018,4,Veneto,Wellness,518
2018,5,Abruzzo,Homecare,156
2018,5,Abruzzo,Outdoor,41
2018,5,Abruzzo,Wellness,140
2018,5,Basilicata,Homecare,18
2018,5,Basilicata,Outdoor,13
2018,5,Basilicata,Wellness,31
2018,5,Calabria,Homecare,69
2018,5,Calabria,Outdoor,57
2018,5,Calabria,Wellness,105
2018,5,Campania,Homecare,418
2018,5,Campania,Outdoor,175
2018,5,Campania,Wellness,546
2018,5,Emilia-Romagna,Homecare,993
2018,5,Emilia-Romagna,Outdoor,279
2018,5,Emilia-Romagna,Wellness,636
2018,5,Friuli Venezia Giulia,Homecare,199
2018,5,Friuli Venezia Giulia,Outdoor,46
2018,5,Friuli Venezia Giulia,Wellness,129
2018,5,Lazio,Homecare,958
2018,5,Lazio,Outdoor,370
2018,5,Lazio,Wellness,626
2018,5,Liguria,Homecare,186
2018,5,Liguria,Outdoor,82
2018,5,Liguria,Wellness,156
2018,5,Lombardia,Homecare,2233
2018,5,Lombardia,Outdoor,540
2018,5,Lombardia,Wellness,1430
2018,5,Marche,Homecare,196
2018,5,Marche,Outdoor,81
2018,5,Marche,Wellness,138
2018,5,Molise,Homecare,16
2018,5,Molise,Outdoor,6
2018,5,Molise,Wellness,13
2018,5,Piemonte,Homecare,637
2018,5,Piemonte,Outdoor,174
2018,5,Piemonte,Wellness,481
2018,5,Puglia,Homecare,283
2018,5,Puglia,Outdoor,151
2018,5,Puglia,Wellness,315
2018,5,Sardegna,Homecare,129
2018,5,Sardegna,Outdoor,84
2018,5,Sardegna,Wellness,156
2018,5,Sicilia,Homecare,269
2018,5,Sicilia,Outdoor,134
2018,5,Sicilia,Wellness,338
2018,5,Toscana,Homecare,586
2018,5,Toscana,Outdoor,183
2018,5,Toscana,Wellness,486
2018,5,Trentino-Alto Adige,Homecare,71
2018,5,Trentino-Alto Adige,Outdoor,21
2018,5,Trentino-Alto Adige,Wellness,80
2018,5,Umbria,Homecare,93
2018,5,Umbria,Outdoor,37
2018,5,Umbria,Wellness,88
2018,5,Valle d'Aosta,Homecare,10
2018,5,Valle d'Aosta,Outdoor,2
2018,5,Valle d'Aosta,Wellness,11
2018,5,Veneto,Homecare,740
2018,5,Veneto,Outdoor,249
2018,5,Veneto,Wellness,551
2018,6,Abruzzo,Homecare,160
2018,6,Abruzzo,Outdoor,29
2018,6,Abruzzo,Wellness,103
2018,6,Basilicata,Homecare,19
2018,6,Basilicata,Outdoor,15
2018,6,Basilicata,Wellness,20
2018,6,Calabria,Homecare,105
2018,6,Calabria,Outdoor,37
2018,6,Calabria,Wellness,73
2018,6,Campania,Homecare,366
2018,6,Campania,Outdoor,136
2018,6,Campania,Wellness,411
2018,6,Emilia-Romagna,Homecare,889
2018,6,Emilia-Romagna,Outdoor,185
2018,6,Emilia-Romagna,Wellness,479
2018,6,Friuli Venezia Giulia,Homecare,159
2018,6,Friuli Venezia Giulia,Outdoor,32
2018,6,Friuli Venezia Giulia,Wellness,97
2018,6,Lazio,Homecare,870
2018,6,Lazio,Outdoor,266
2018,6,Lazio,Wellness,522
2018,6,Liguria,Homecare,194
2018,6,Liguria,Outdoor,38
2018,6,Liguria,Wellness,116
2018,6,Lombardia,Homecare,2113
2018,6,Lombardia,Outdoor,363
2018,6,Lombardia,Wellness,1064
2018,6,Marche,Homecare,175
2018,6,Marche,Outdoor,58
2018,6,Marche,Wellness,126
2018,6,Molise,Homecare,21
2018,6,Molise,Outdoor,4
2018,6,Molise,Wellness,15
2018,6,Piemonte,Homecare,635
2018,6,Piemonte,Outdoor,118
2018,6,Piemonte,Wellness,389
2018,6,Puglia,Homecare,296
2018,6,Puglia,Outdoor,97
2018,6,Puglia,Wellness,251
2018,6,Sardegna,Homecare,167
2018,6,Sardegna,Outdoor,50
2018,6,Sardegna,Wellness,104
2018,6,Sicilia,Homecare,248
2018,6,Sicilia,Outdoor,134
2018,6,Sicilia,Wellness,310
2018,6,Toscana,Homecare,493
2018,6,Toscana,Outdoor,125
2018,6,Toscana,Wellness,365
2018,6,Trentino-Alto Adige,Homecare,82
2018,6,Trentino-Alto Adige,Outdoor,17
2018,6,Trentino-Alto Adige,Wellness,59
2018,6,Umbria,Homecare,67
2018,6,Umbria,Outdoor,27
2018,6,Umbria,Wellness,91
2018,6,Valle d'Aosta,Homecare,9
2018,6,Valle d'Aosta,Wellness,9
2018,6,Veneto,Homecare,753
2018,6,Veneto,Outdoor,163
2018,6,Veneto,Wellness,450
2018,7,Abruzzo,Homecare,103
2018,7,Abruzzo,Outdoor,30
2018,7,Abruzzo,Wellness,119
2018,7,Basilicata,Homecare,17
2018,7,Basilicata,Outdoor,9
2018,7,Basilicata,Wellness,28
2018,7,Calabria,Homecare,64
2018,7,Calabria,Outdoor,56
2018,7,Calabria,Wellness,89
2018,7,Campania,Homecare,331
2018,7,Campania,Outdoor,140
2018,7,Campania,Wellness,453
2018,7,Emilia-Romagna,Homecare,613
2018,7,Emilia-Romagna,Outdoor,160
2018,7,Emilia-Romagna,Wellness,512
2018,7,Friuli Venezia Giulia,Homecare,104
2018,7,Friuli Venezia Giulia,Outdoor,39
2018,7,Friuli Venezia Giulia,Wellness,100
2018,7,Lazio,Homecare,756
2018,7,Lazio,Outdoor,228
2018,7,Lazio,Wellness,571
2018,7,Liguria,Homecare,187
2018,7,Liguria,Outdoor,62
2018,7,Liguria,Wellness,152
2018,7,Lombardia,Homecare,1358
2018,7,Lombardia,Outdoor,341
2018,7,Lombardia,Wellness,1033
2018,7,Marche,Homecare,101
2018,7,Marche,Outdoor,48
2018,7,Marche,Wellness,121
2018,7,Molise,Homecare,13
2018,7,Molise,Outdoor,8
2018,7,Molise,Wellness,12
2018,7,Piemonte,Homecare,423
2018,7,Piemonte,Outdoor,133
2018,7,Piemonte,Wellness,411
2018,7,Puglia,Homecare,177
2018,7,Puglia,Outdoor,97
2018,7,Puglia,Wellness,269
2018,7,Sardegna,Homecare,220
2018,7,Sardegna,Outdoor,57
2018,7,Sardegna,Wellness,117
2018,7,Sicilia,Homecare,256
2018,7,Sicilia,Outdoor,110
2018,7,Sicilia,Wellness,312
2018,7,Toscana,Homecare,402
2018,7,Toscana,Outdoor,112
2018,7,Toscana,Wellness,376
2018,7,Trentino-Alto Adige,Homecare,57
2018,7,Trentino-Alto Adige,Outdoor,17
2018,7,Trentino-Alto Adige,Wellness,78
2018,7,Umbria,Homecare,55
2018,7,Umbria,Outdoor,42
2018,7,Umbria,Wellness,70
2018,7,Valle d'Aosta,Homecare,10
2018,7,Valle d'Aosta,Outdoor,1
2018,7,Valle d'Aosta,Wellness,10
2018,7,Veneto,Homecare,459
2018,7,Veneto,Outdoor,168
2018,7,Veneto,Wellness,506
2018,8,Abruzzo,Homecare,61
2018,8,Abruzzo,Outdoor,15
2018,8,Abruzzo,Wellness,130
2018,8,Basilicata,Homecare,16
2018,8,Basilicata,Outdoor,4
2018,8,Basilicata,Wellness,13
2018,8,Calabria,Homecare,34
2018,8,Calabria,Outdoor,19
2018,8,Calabria,Wellness,104
2018,8,Campania,Homecare,151
2018,8,Campania,Outdoor,84
2018,8,Campania,Wellness,566
2018,8,Emilia-Romagna,Homecare,431
2018,8,Emilia-Romagna,Outdoor,136
2018,8,Emilia-Romagna,Wellness,659
2018,8,Friuli Venezia Giulia,Homecare,118
2018,8,Friuli Venezia Giulia,Outdoor,29
2018,8,Friuli Venezia Giulia,Wellness,120
2018,8,Lazio,Homecare,411
2018,8,Lazio,Outdoor,162
2018,8,Lazio,Wellness,584
2018,8,Liguria,Homecare,210
2018,8,Liguria,Outdoor,61
2018,8,Liguria,Wellness,165
2018,8,Lombardia,Homecare,951
2018,8,Lombardia,Outdoor,236
2018,8,Lombardia,Wellness,1225
2018,8,Marche,Homecare,106
2018,8,Marche,Outdoor,35
2018,8,Marche,Wellness,146
2018,8,Molise,Homecare,10
2018,8,Molise,Outdoor,3
2018,8,Molise,Wellness,21
2018,8,Piemonte,Homecare,321
2018,8,Piemonte,Outdoor,85
2018,8,Piemonte,Wellness,410
2018,8,Puglia,Homecare,112
2018,8,Puglia,Outdoor,68
2018,8,Puglia,Wellness,299
2018,8,Sardegna,Homecare,102
2018,8,Sardegna,Outdoor,25
2018,8,Sardegna,Wellness,132
2018,8,Sicilia,Homecare,125
2018,8,Sicilia,Outdoor,64
2018,8,Sicilia,Wellness,369
2018,8,Toscana,Homecare,384
2018,8,Toscana,Outdoor,85
2018,8,Toscana,Wellness,447
2018,8,Trentino-Alto Adige,Homecare,64
2018,8,Trentino-Alto Adige,Outdoor,15
2018,8,Trentino-Alto Adige,Wellness,86
2018,8,Umbria,Homecare,33
2018,8,Umbria,Outdoor,20
2018,8,Umbria,Wellness,95
2018,8,Valle d'Aosta,Homecare,1
2018,8,Valle d'Aosta,Outdoor,1
2018,8,Valle d'Aosta,Wellness,11
2018,8,Veneto,Homecare,426
2018,8,Veneto,Outdoor,151
2018,8,Veneto,Wellness,464
2018,9,Abruzzo,Homecare,51
2018,9,Abruzzo,Outdoor,23
2018,9,Abruzzo,Wellness,211
2018,9,Basilicata,Homecare,7
2018,9,Basilicata,Outdoor,5
2018,9,Basilicata,Wellness,34
2018,9,Calabria,Homecare,34
2018,9,Calabria,Outdoor,23
2018,9,Calabria,Wellness,188
2018,9,Campania,Homecare,152
2018,9,Campania,Outdoor,74
2018,9,Campania,Wellness,950
2018,9,Emilia-Romagna,Homecare,352
2018,9,Emilia-Romagna,Outdoor,125
2018,9,Emilia-Romagna,Wellness,928
2018,9,Friuli Venezia Giulia,Homecare,92
