geoName,geoCode,Garten
Burgenland,AT-1,94
Carinthia,AT-2,79
Lower Austria,AT-3,100
Salzburg,AT-5,66
Styria,AT-6,80
Tyrol,AT-7,66
Upper Austria,AT-4,81
Vienna,AT-9,63
Vorarlberg,AT-8,76
