geoName,geoCode,notarios
Andalusia,ES-AN,46
Aragon,ES-AR,70
Asturias,ES-AS,59
Balearic Islands,ES-IB,50
Basque Country,ES-PV,39
Canary Islands,ES-CN,35
Cantabria,ES-CB,100
Castile and León,ES-CL,44
Castile-La Mancha,ES-CM,47
Catalonia,ES-CT,70
Ceuta,ES-CE,0
Community of Madrid,ES-MD,81
Extremadura,ES-EX,36
Galicia,ES-GA,62
La Rioja,ES-RI,39
Melilla,ES-ML,0
Navarre,ES-NC,72
Region of Murcia,ES-MC,49
Valencian Community,ES-VC,55
