geoName,geoCode,Sonnensegel
Baden-Württemberg,DE-BW,91
Bavaria,DE-BY,87
Berlin,DE-BE,42
Brandenburg,DE-BB,88
Bremen,DE-HB,36
Hamburg,DE-HH,49
Hesse,DE-HE,75
Lower Saxony,DE-NI,100
Mecklenburg-Vorpommern,DE-MV,75
North Rhine-Westphalia,DE-NW,85
Rhineland-Palatinate,DE-RP,100
Saarland,DE-SL,86
Saxony,DE-SN,81
Saxony-Anhalt,DE-ST,87
Schleswig-Holstein,DE-SH,69
Thuringia,DE-TH,96
