geoName,geoCode,bomboniere comunione
Abruzzo,IT-65,61
Aosta,IT-23,0
Apulia,IT-75,46
Basilicata,IT-77,100
Calabria,IT-78,68
Campania,IT-72,64
Emilia-Romagna,IT-45,42
Friuli-Venezia Giulia,IT-36,45
Lazio,IT-62,48
Liguria,IT-42,50
Lombardy,IT-25,36
Marche,IT-57,44
Molise,IT-67,97
Piedmont,IT-21,37
Sardinia,IT-88,42
Sicily,IT-82,48
Trentino-Alto Adige/South Tyrol,IT-32,62
Tuscany,IT-52,52
Umbria,IT-55,56
Veneto,IT-34,36
