geoName,geoCode,Hochzeits Dj
Baden-Württemberg,DE-BW,14
Bavaria,DE-BY,22
Berlin,DE-BE,27
Brandenburg,DE-BB,25
Bremen,DE-HB,0
Hamburg,DE-HH,0
Hesse,DE-HE,28
Lower Saxony,DE-NI,11
Mecklenburg-Vorpommern,DE-MV,0
North Rhine-Westphalia,DE-NW,28
Rhineland-Palatinate,DE-RP,9
Saarland,DE-SL,0
Saxony,DE-SN,0
Saxony-Anhalt,DE-ST,0
Schleswig-Holstein,DE-SH,0
Thuringia,DE-TH,100
