,geoName,Nutritioniste
3,Brittany,17.0
5,Centre-Val de Loire,29.0
7,Corsica,100.0
15,Pays de la Loire,10.0
18,Provence-Alpes-Côte d'Azur,16.0
21,Île-de-France,15.0
22,Grand-est,17.333333333333332
23,Hauts-de-france,29.5
24,Normandie,8.0
25,Bourgogne-Franche-Comté,46.0
26,Nouvelle-Aquitaine,7.0
27,Occitanie,14.5
28,Auvergne-Rhône-Alpes,6.0
