geoName,geoCode,pintar casa
Andalusia,ES-AN,61
Aragon,ES-AR,83
Asturias,ES-AS,79
Balearic Islands,ES-IB,34
Basque Country,ES-PV,63
Canary Islands,ES-CN,68
Cantabria,ES-CB,70
Castile and León,ES-CL,61
Castile-La Mancha,ES-CM,87
Catalonia,ES-CT,53
Ceuta,ES-CE,0
Community of Madrid,ES-MD,59
Extremadura,ES-EX,98
Galicia,ES-GA,70
La Rioja,ES-RI,0
Melilla,ES-ML,0
Navarre,ES-NC,100
Region of Murcia,ES-MC,81
Valencian Community,ES-VC,71
