geoName,geoCode,Klimaanlage
Baden-Württemberg,DE-BW,83
Bavaria,DE-BY,58
Berlin,DE-BE,57
Brandenburg,DE-BB,84
Bremen,DE-HB,45
Hamburg,DE-HH,38
Hesse,DE-HE,90
Lower Saxony,DE-NI,65
Mecklenburg-Vorpommern,DE-MV,52
North Rhine-Westphalia,DE-NW,99
Rhineland-Palatinate,DE-RP,100
Saarland,DE-SL,78
Saxony,DE-SN,57
Saxony-Anhalt,DE-ST,69
Schleswig-Holstein,DE-SH,38
Thuringia,DE-TH,57
