geoName,geoCode,dolci natalizi
Abruzzo,IT-65,19
Aosta,IT-23,0
Apulia,IT-75,17
Basilicata,IT-77,58
Calabria,IT-78,16
Campania,IT-72,21
Emilia-Romagna,IT-45,7
Friuli-Venezia Giulia,IT-36,19
Lazio,IT-62,18
Liguria,IT-42,15
Lombardy,IT-25,10
Marche,IT-57,30
Molise,IT-67,100
Piedmont,IT-21,10
Sardinia,IT-88,31
Sicily,IT-82,15
Trentino-Alto Adige/South Tyrol,IT-32,0
Tuscany,IT-52,12
Umbria,IT-55,28
Veneto,IT-34,14
