date,design interni,isPartial
2018-01-07,38,False
2018-01-14,83,False
2018-01-21,45,False
2018-01-28,73,False
2018-02-04,27,False
2018-02-11,36,False
2018-02-18,53,False
2018-02-25,17,False
2018-03-04,59,False
2018-03-11,17,False
2018-03-18,44,False
2018-03-25,73,False
2018-04-01,19,False
2018-04-08,35,False
2018-04-15,27,False
2018-04-22,28,False
2018-04-29,18,False
2018-05-06,18,False
2018-05-13,17,False
2018-05-20,0,False
2018-05-27,26,False
2018-06-03,0,False
2018-06-10,35,False
2018-06-17,18,False
2018-06-24,37,False
2018-07-01,18,False
2018-07-08,18,False
2018-07-15,55,False
2018-07-22,37,False
2018-07-29,39,False
2018-08-05,22,False
2018-08-12,24,False
2018-08-19,0,False
2018-08-26,28,False
2018-09-02,17,False
2018-09-09,43,False
2018-09-16,51,False
2018-09-23,26,False
2018-09-30,51,False
2018-10-07,35,False
2018-10-14,52,False
2018-10-21,25,False
2018-10-28,17,False
2018-11-04,41,False
2018-11-11,34,False
2018-11-18,25,False
2018-11-25,26,False
2018-12-02,43,False
2018-12-09,25,False
2018-12-16,35,False
2018-12-23,21,False
2018-12-30,30,False
2019-01-06,52,False
2019-01-13,33,False
2019-01-20,25,False
2019-01-27,57,False
2019-02-03,42,False
2019-02-10,25,False
2019-02-17,17,False
2019-02-24,26,False
2019-03-03,52,False
2019-03-10,51,False
2019-03-17,17,False
2019-03-24,44,False
2019-03-31,0,False
2019-04-07,43,False
2019-04-14,18,False
2019-04-21,39,False
2019-04-28,18,False
2019-05-05,0,False
2019-05-12,25,False
2019-05-19,33,False
2019-05-26,25,False
2019-06-02,26,False
2019-06-09,17,False
2019-06-16,26,False
2019-06-23,27,False
2019-06-30,18,False
2019-07-07,0,False
2019-07-14,18,False
2019-07-21,37,False
2019-07-28,19,False
2019-08-04,52,False
2019-08-11,24,False
2019-08-18,33,False
2019-08-25,19,False
2019-09-01,33,False
2019-09-08,100,False
2019-09-15,73,False
2019-09-22,16,False
2019-09-29,32,False
2019-10-06,25,False
2019-10-13,32,False
2019-10-20,39,False
2019-10-27,24,False
2019-11-03,15,False
2019-11-10,62,False
2019-11-17,23,False
2019-11-24,46,False
2019-12-01,78,False
2019-12-08,16,False
2019-12-15,33,False
2019-12-22,39,False
2019-12-29,0,False
2020-01-05,16,False
2020-01-12,37,False
2020-01-19,31,False
2020-01-26,22,False
2020-02-02,29,False
2020-02-09,15,False
2020-02-16,29,False
2020-02-23,42,False
2020-03-01,28,False
2020-03-08,14,False
2020-03-15,14,False
2020-03-22,34,False
2020-03-29,21,False
2020-04-05,36,False
2020-04-12,14,False
2020-04-19,55,False
2020-04-26,0,True
