geoName,geoCode,suonare
Abruzzo,IT-65,100
Aosta,IT-23,34
Apulia,IT-75,72
Basilicata,IT-77,63
Calabria,IT-78,64
Campania,IT-72,81
Emilia-Romagna,IT-45,67
Friuli-Venezia Giulia,IT-36,51
Lazio,IT-62,68
Liguria,IT-42,65
Lombardy,IT-25,67
Marche,IT-57,63
Molise,IT-67,70
Piedmont,IT-21,68
Sardinia,IT-88,78
Sicily,IT-82,83
Trentino-Alto Adige/South Tyrol,IT-32,51
Tuscany,IT-52,68
Umbria,IT-55,68
Veneto,IT-34,68
