date,suonare,isPartial
2018-01-07,37,False
2018-01-14,25,False
2018-01-21,39,False
2018-01-28,34,False
2018-02-04,28,False
2018-02-11,35,False
2018-02-18,47,False
2018-02-25,45,False
2018-03-04,26,False
2018-03-11,21,False
2018-03-18,38,False
2018-03-25,38,False
2018-04-01,47,False
2018-04-08,41,False
2018-04-15,35,False
2018-04-22,38,False
2018-04-29,26,False
2018-05-06,52,False
2018-05-13,34,False
2018-05-20,32,False
2018-05-27,31,False
2018-06-03,33,False
2018-06-10,31,False
2018-06-17,30,False
2018-06-24,34,False
2018-07-01,35,False
2018-07-08,20,False
2018-07-15,32,False
2018-07-22,27,False
2018-07-29,38,False
2018-08-05,35,False
2018-08-12,50,False
2018-08-19,34,False
2018-08-26,39,False
2018-09-02,37,False
2018-09-09,31,False
2018-09-16,43,False
2018-09-23,41,False
2018-09-30,32,False
2018-10-07,39,False
2018-10-14,43,False
2018-10-21,24,False
2018-10-28,33,False
2018-11-04,47,False
2018-11-11,57,False
2018-11-18,49,False
2018-11-25,51,False
2018-12-02,51,False
2018-12-09,47,False
2018-12-16,43,False
2018-12-23,70,False
2018-12-30,59,False
2019-01-06,45,False
2019-01-13,49,False
2019-01-20,42,False
2019-01-27,50,False
2019-02-03,36,False
2019-02-10,44,False
2019-02-17,34,False
2019-02-24,51,False
2019-03-03,42,False
2019-03-10,39,False
2019-03-17,39,False
2019-03-24,42,False
2019-03-31,43,False
2019-04-07,51,False
2019-04-14,33,False
2019-04-21,30,False
2019-04-28,38,False
2019-05-05,39,False
2019-05-12,28,False
2019-05-19,27,False
2019-05-26,40,False
2019-06-02,49,False
2019-06-09,41,False
2019-06-16,34,False
2019-06-23,30,False
2019-06-30,37,False
2019-07-07,36,False
2019-07-14,34,False
2019-07-21,33,False
2019-07-28,38,False
2019-08-04,24,False
2019-08-11,51,False
2019-08-18,36,False
2019-08-25,35,False
2019-09-01,29,False
2019-09-08,22,False
2019-09-15,40,False
2019-09-22,56,False
2019-09-29,45,False
2019-10-06,42,False
2019-10-13,47,False
2019-10-20,58,False
2019-10-27,26,False
2019-11-03,36,False
2019-11-10,45,False
2019-11-17,41,False
2019-11-24,48,False
2019-12-01,39,False
2019-12-08,53,False
2019-12-15,30,False
2019-12-22,50,False
2019-12-29,60,False
2020-01-05,57,False
2020-01-12,50,False
2020-01-19,65,False
2020-01-26,39,False
2020-02-02,33,False
2020-02-09,56,False
2020-02-16,55,False
2020-02-23,38,False
2020-03-01,30,False
2020-03-08,74,False
2020-03-15,81,False
2020-03-22,74,False
2020-03-29,100,False
2020-04-05,64,False
2020-04-12,78,False
2020-04-19,91,False
2020-04-26,56,True
