geoName,geoCode,Kanalreinigung
Baden-Württemberg,DE-BW,41
Bavaria,DE-BY,33
Berlin,DE-BE,4
Brandenburg,DE-BB,21
Bremen,DE-HB,33
Hamburg,DE-HH,12
Hesse,DE-HE,47
Lower Saxony,DE-NI,39
Mecklenburg-Vorpommern,DE-MV,59
North Rhine-Westphalia,DE-NW,59
Rhineland-Palatinate,DE-RP,73
Saarland,DE-SL,100
Saxony,DE-SN,36
Saxony-Anhalt,DE-ST,32
Schleswig-Holstein,DE-SH,25
Thuringia,DE-TH,46
