geoName,geoCode,piscine semi enterrée
Brittany,FR-E,39.37823834196891
Centre-Val de Loire,FR-F,88.08290155440415
Corsica,FR-H,0.0
Pays de la Loire,FR-R,90.15544041450777
Provence-Alpes-Côte d'Azur,FR-U,29.015544041450774
Île-de-France,FR-J,29.015544041450774
Grand-est,FR-GE,85.66493955094991
Hauts-de-france,FR-HF,48.704663212435236
Normandie,FR-NO,56.994818652849744
Bourgogne-Franche-Comté,FR-BFC,100.0
Nouvelle-Aquitaine,FR-NA,74.61139896373057
Occitanie,FR-OC,64.76683937823834
Auvergne-Rhône-Alpes,FR-AR,81.34715025906736
