date,Pintores,isPartial
2018-01-07,67,False
2018-01-14,89,False
2018-01-21,77,False
2018-01-28,81,False
2018-02-04,84,False
2018-02-11,76,False
2018-02-18,87,False
2018-02-25,86,False
2018-03-04,82,False
2018-03-11,74,False
2018-03-18,80,False
2018-03-25,59,False
2018-04-01,76,False
2018-04-08,83,False
2018-04-15,75,False
2018-04-22,70,False
2018-04-29,80,False
2018-05-06,73,False
2018-05-13,74,False
2018-05-20,76,False
2018-05-27,64,False
2018-06-03,72,False
2018-06-10,67,False
2018-06-17,61,False
2018-06-24,48,False
2018-07-01,53,False
2018-07-08,58,False
2018-07-15,56,False
2018-07-22,58,False
2018-07-29,55,False
2018-08-05,53,False
2018-08-12,64,False
2018-08-19,60,False
2018-08-26,52,False
2018-09-02,57,False
2018-09-09,63,False
2018-09-16,74,False
2018-09-23,69,False
2018-09-30,76,False
2018-10-07,78,False
2018-10-14,63,False
2018-10-21,78,False
2018-10-28,68,False
2018-11-04,71,False
2018-11-11,78,False
2018-11-18,73,False
2018-11-25,66,False
2018-12-02,63,False
2018-12-09,58,False
2018-12-16,50,False
2018-12-23,58,False
2018-12-30,60,False
2019-01-06,100,False
2019-01-13,82,False
2019-01-20,58,False
2019-01-27,86,False
2019-02-03,90,False
2019-02-10,80,False
2019-02-17,82,False
2019-02-24,86,False
2019-03-03,80,False
2019-03-10,81,False
2019-03-17,78,False
2019-03-24,71,False
2019-03-31,74,False
2019-04-07,75,False
2019-04-14,67,False
2019-04-21,72,False
2019-04-28,73,False
2019-05-05,75,False
2019-05-12,65,False
2019-05-19,68,False
2019-05-26,78,False
2019-06-02,58,False
2019-06-09,64,False
2019-06-16,60,False
2019-06-23,52,False
2019-06-30,54,False
2019-07-07,66,False
2019-07-14,58,False
2019-07-21,50,False
2019-07-28,56,False
2019-08-04,48,False
2019-08-11,55,False
2019-08-18,61,False
2019-08-25,50,False
2019-09-01,52,False
2019-09-08,65,False
2019-09-15,70,False
2019-09-22,64,False
2019-09-29,73,False
2019-10-06,70,False
2019-10-13,72,False
2019-10-20,70,False
2019-10-27,54,False
2019-11-03,65,False
2019-11-10,74,False
2019-11-17,73,False
2019-11-24,65,False
2019-12-01,71,False
2019-12-08,84,False
2019-12-15,61,False
2019-12-22,53,False
2019-12-29,46,False
2020-01-05,60,False
2020-01-12,74,False
2020-01-19,70,False
2020-01-26,77,False
2020-02-02,83,False
2020-02-09,80,False
2020-02-16,92,False
2020-02-23,87,False
2020-03-01,75,False
2020-03-08,55,False
2020-03-15,63,False
2020-03-22,70,False
2020-03-29,75,False
2020-04-05,59,False
2020-04-12,80,False
2020-04-19,91,False
2020-04-26,76,False
2020-05-03,99,False
2020-05-10,89,False
2020-05-17,94,True
