geoName,geoCode,Pintores
Andalusia,ES-AN,85
Aragon,ES-AR,86
Asturias,ES-AS,71
Balearic Islands,ES-IB,76
Basque Country,ES-PV,72
Canary Islands,ES-CN,69
Cantabria,ES-CB,65
Castile and León,ES-CL,97
Castile-La Mancha,ES-CM,79
Catalonia,ES-CT,67
Ceuta,ES-CE,0
Community of Madrid,ES-MD,100
Extremadura,ES-EX,90
Galicia,ES-GA,76
La Rioja,ES-RI,85
Melilla,ES-ML,0
Navarre,ES-NC,58
Region of Murcia,ES-MC,75
Valencian Community,ES-VC,74
