date,Pintores,isPartial
2018-01-07,53,False
2018-01-14,59,False
2018-01-21,70,False
2018-01-28,58,False
2018-02-04,70,False
2018-02-11,45,False
2018-02-18,55,False
2018-02-25,60,False
2018-03-04,89,False
2018-03-11,62,False
2018-03-18,97,False
2018-03-25,64,False
2018-04-01,86,False
2018-04-08,57,False
2018-04-15,63,False
2018-04-22,86,False
2018-04-29,44,False
2018-05-06,69,False
2018-05-13,83,False
2018-05-20,63,False
2018-05-27,60,False
2018-06-03,73,False
2018-06-10,74,False
2018-06-17,70,False
2018-06-24,61,False
2018-07-01,37,False
2018-07-08,29,False
2018-07-15,37,False
2018-07-22,35,False
2018-07-29,53,False
2018-08-05,34,False
2018-08-12,62,False
2018-08-19,44,False
2018-08-26,57,False
2018-09-02,60,False
2018-09-09,70,False
2018-09-16,61,False
2018-09-23,41,False
2018-09-30,44,False
2018-10-07,53,False
2018-10-14,64,False
2018-10-21,73,False
2018-10-28,54,False
2018-11-04,39,False
2018-11-11,54,False
2018-11-18,53,False
2018-11-25,47,False
2018-12-02,63,False
2018-12-09,69,False
2018-12-16,43,False
2018-12-23,48,False
2018-12-30,60,False
2019-01-06,66,False
2019-01-13,77,False
2019-01-20,59,False
2019-01-27,63,False
2019-02-03,75,False
2019-02-10,49,False
2019-02-17,62,False
2019-02-24,62,False
2019-03-03,85,False
2019-03-10,54,False
2019-03-17,67,False
2019-03-24,65,False
2019-03-31,72,False
2019-04-07,76,False
2019-04-14,35,False
2019-04-21,53,False
2019-04-28,66,False
2019-05-05,62,False
2019-05-12,61,False
2019-05-19,60,False
2019-05-26,64,False
2019-06-02,70,False
2019-06-09,42,False
2019-06-16,50,False
2019-06-23,47,False
2019-06-30,41,False
2019-07-07,41,False
2019-07-14,65,False
2019-07-21,23,False
2019-07-28,43,False
2019-08-04,42,False
2019-08-11,25,False
2019-08-18,38,False
2019-08-25,28,False
2019-09-01,49,False
2019-09-08,48,False
2019-09-15,59,False
2019-09-22,85,False
2019-09-29,45,False
2019-10-06,44,False
2019-10-13,60,False
2019-10-20,52,False
2019-10-27,43,False
2019-11-03,54,False
2019-11-10,49,False
2019-11-17,69,False
2019-11-24,50,False
2019-12-01,45,False
2019-12-08,62,False
2019-12-15,60,False
2019-12-22,44,False
2019-12-29,31,False
2020-01-05,74,False
2020-01-12,82,False
2020-01-19,84,False
2020-01-26,50,False
2020-02-02,64,False
2020-02-09,50,False
2020-02-16,59,False
2020-02-23,88,False
2020-03-01,73,False
2020-03-08,45,False
2020-03-15,66,False
2020-03-22,85,False
2020-03-29,76,False
2020-04-05,57,False
2020-04-12,78,False
2020-04-19,73,False
2020-04-26,81,False
2020-05-03,100,False
2020-05-10,73,False
2020-05-17,66,True
