date,Pintores,isPartial
2018-01-07,60,False
2018-01-14,76,False
2018-01-21,58,False
2018-01-28,71,False
2018-02-04,100,False
2018-02-11,89,False
2018-02-18,70,False
2018-02-25,80,False
2018-03-04,86,False
2018-03-11,52,False
2018-03-18,71,False
2018-03-25,34,False
2018-04-01,85,False
2018-04-08,56,False
2018-04-15,59,False
2018-04-22,61,False
2018-04-29,64,False
2018-05-06,63,False
2018-05-13,77,False
2018-05-20,68,False
2018-05-27,63,False
2018-06-03,79,False
2018-06-10,50,False
2018-06-17,43,False
2018-06-24,49,False
2018-07-01,47,False
2018-07-08,48,False
2018-07-15,65,False
2018-07-22,64,False
2018-07-29,65,False
2018-08-05,64,False
2018-08-12,63,False
2018-08-19,77,False
2018-08-26,66,False
2018-09-02,80,False
2018-09-09,89,False
2018-09-16,59,False
2018-09-23,56,False
2018-09-30,80,False
2018-10-07,68,False
2018-10-14,58,False
2018-10-21,82,False
2018-10-28,75,False
2018-11-04,60,False
2018-11-11,61,False
2018-11-18,92,False
2018-11-25,76,False
2018-12-02,82,False
2018-12-09,66,False
2018-12-16,44,False
2018-12-23,48,False
2018-12-30,72,False
2019-01-06,80,False
2019-01-13,76,False
2019-01-20,62,False
2019-01-27,78,False
2019-02-03,70,False
2019-02-10,80,False
2019-02-17,97,False
2019-02-24,97,False
2019-03-03,48,False
2019-03-10,84,False
2019-03-17,46,False
2019-03-24,91,False
2019-03-31,74,False
2019-04-07,68,False
2019-04-14,90,False
2019-04-21,52,False
2019-04-28,76,False
2019-05-05,69,False
2019-05-12,59,False
2019-05-19,61,False
2019-05-26,80,False
2019-06-02,60,False
2019-06-09,49,False
2019-06-16,64,False
2019-06-23,55,False
2019-06-30,78,False
2019-07-07,67,False
2019-07-14,57,False
2019-07-21,52,False
2019-07-28,40,False
2019-08-04,41,False
2019-08-11,80,False
2019-08-18,48,False
2019-08-25,53,False
2019-09-01,63,False
2019-09-08,65,False
2019-09-15,65,False
2019-09-22,54,False
2019-09-29,66,False
2019-10-06,78,False
2019-10-13,79,False
2019-10-20,70,False
2019-10-27,48,False
2019-11-03,63,False
2019-11-10,45,False
2019-11-17,67,False
2019-11-24,70,False
2019-12-01,96,False
2019-12-08,87,False
2019-12-15,40,False
2019-12-22,62,False
2019-12-29,60,False
2020-01-05,61,False
2020-01-12,79,False
2020-01-19,55,False
2020-01-26,62,False
2020-02-02,78,False
2020-02-09,79,False
2020-02-16,92,False
2020-02-23,83,False
2020-03-01,60,False
2020-03-08,57,False
2020-03-15,68,False
2020-03-22,50,False
2020-03-29,49,False
2020-04-05,57,False
2020-04-12,73,False
2020-04-19,99,False
2020-04-26,81,False
2020-05-03,72,False
2020-05-10,80,False
2020-05-17,86,True
