,geoName,yoga débutant
3,Brittany,70.0
5,Centre-Val de Loire,61.0
7,Corsica,0.0
15,Pays de la Loire,100.0
18,Provence-Alpes-Côte d'Azur,71.0
21,Île-de-France,51.0
22,Grand-est,71.33333333333333
23,Hauts-de-france,48.5
24,Normandie,62.0
25,Bourgogne-Franche-Comté,75.0
26,Nouvelle-Aquitaine,71.66666666666667
27,Occitanie,86.5
28,Auvergne-Rhône-Alpes,76.5
