geoName,geoCode,Lüftungstechnik
Baden-Württemberg,DE-BW,72
Bavaria,DE-BY,47
Berlin,DE-BE,34
Brandenburg,DE-BB,97
Bremen,DE-HB,0
Hamburg,DE-HH,60
Hesse,DE-HE,71
Lower Saxony,DE-NI,52
Mecklenburg-Vorpommern,DE-MV,0
North Rhine-Westphalia,DE-NW,54
Rhineland-Palatinate,DE-RP,51
Saarland,DE-SL,0
Saxony,DE-SN,40
Saxony-Anhalt,DE-ST,0
Schleswig-Holstein,DE-SH,54
Thuringia,DE-TH,100
