date,musica pop,isPartial
2018-01-07,21,False
2018-01-14,30,False
2018-01-21,36,False
2018-01-28,56,False
2018-02-04,35,False
2018-02-11,41,False
2018-02-18,30,False
2018-02-25,24,False
2018-03-04,49,False
2018-03-11,30,False
2018-03-18,30,False
2018-03-25,11,False
2018-04-01,39,False
2018-04-08,20,False
2018-04-15,31,False
2018-04-22,32,False
2018-04-29,21,False
2018-05-06,20,False
2018-05-13,50,False
2018-05-20,51,False
2018-05-27,88,False
2018-06-03,36,False
2018-06-10,44,False
2018-06-17,62,False
2018-06-24,36,False
2018-07-01,31,False
2018-07-08,40,False
2018-07-15,31,False
2018-07-22,21,False
2018-07-29,16,False
2018-08-05,16,False
2018-08-12,34,False
2018-08-19,11,False
2018-08-26,31,False
2018-09-02,15,False
2018-09-09,20,False
2018-09-16,30,False
2018-09-23,35,False
2018-09-30,55,False
2018-10-07,41,False
2018-10-14,5,False
2018-10-21,66,False
2018-10-28,55,False
2018-11-04,34,False
2018-11-11,56,False
2018-11-18,35,False
2018-11-25,35,False
2018-12-02,25,False
2018-12-09,36,False
2018-12-16,16,False
2018-12-23,37,False
2018-12-30,34,False
2019-01-06,21,False
2019-01-13,40,False
2019-01-20,38,False
2019-01-27,52,False
2019-02-03,34,False
2019-02-10,34,False
2019-02-17,50,False
2019-02-24,30,False
2019-03-03,36,False
2019-03-10,35,False
2019-03-17,31,False
2019-03-24,51,False
2019-03-31,36,False
2019-04-07,35,False
2019-04-14,36,False
2019-04-21,54,False
2019-04-28,36,False
2019-05-05,34,False
2019-05-12,63,False
2019-05-19,44,False
2019-05-26,33,False
2019-06-02,40,False
2019-06-09,35,False
2019-06-16,46,False
2019-06-23,52,False
2019-06-30,10,False
2019-07-07,10,False
2019-07-14,41,False
2019-07-21,36,False
2019-07-28,21,False
2019-08-04,22,False
2019-08-11,29,False
2019-08-18,32,False
2019-08-25,15,False
2019-09-01,23,False
2019-09-08,5,False
2019-09-15,19,False
2019-09-22,19,False
2019-09-29,24,False
2019-10-06,29,False
2019-10-13,53,False
2019-10-20,28,False
2019-10-27,42,False
2019-11-03,50,False
2019-11-10,18,False
2019-11-17,14,False
2019-11-24,27,False
2019-12-01,42,False
2019-12-08,48,False
2019-12-15,14,False
2019-12-22,38,False
2019-12-29,21,False
2020-01-05,28,False
2020-01-12,35,False
2020-01-19,27,False
2020-01-26,26,False
2020-02-02,22,False
2020-02-09,40,False
2020-02-16,13,False
2020-02-23,25,False
2020-03-01,29,False
2020-03-08,44,False
2020-03-15,68,False
2020-03-22,34,False
2020-03-29,38,False
2020-04-05,56,False
2020-04-12,49,False
2020-04-19,50,False
2020-04-26,100,True
