geoName,geoCode,Fertighaus
Burgenland,AT-1,58
Carinthia,AT-2,100
Lower Austria,AT-3,52
Salzburg,AT-5,51
Styria,AT-6,74
Tyrol,AT-7,50
Upper Austria,AT-4,72
Vienna,AT-9,53
Vorarlberg,AT-8,76
