geoName,geoCode,Fertighaus
Baden-Württemberg,DE-BW,100
Bavaria,DE-BY,90
Berlin,DE-BE,42
Brandenburg,DE-BB,52
Bremen,DE-HB,36
Hamburg,DE-HH,37
Hesse,DE-HE,80
Lower Saxony,DE-NI,53
Mecklenburg-Vorpommern,DE-MV,36
North Rhine-Westphalia,DE-NW,63
Rhineland-Palatinate,DE-RP,90
Saarland,DE-SL,91
Saxony,DE-SN,41
Saxony-Anhalt,DE-ST,40
Schleswig-Holstein,DE-SH,48
Thuringia,DE-TH,61
