geoName,geoCode,Decke streichen
Baden-Württemberg,DE-BW,57
Bavaria,DE-BY,46
Berlin,DE-BE,39
Brandenburg,DE-BB,100
Bremen,DE-HB,0
Hamburg,DE-HH,92
Hesse,DE-HE,44
Lower Saxony,DE-NI,40
Mecklenburg-Vorpommern,DE-MV,0
North Rhine-Westphalia,DE-NW,60
Rhineland-Palatinate,DE-RP,58
Saarland,DE-SL,0
Saxony,DE-SN,30
Saxony-Anhalt,DE-ST,0
Schleswig-Holstein,DE-SH,33
Thuringia,DE-TH,0
