,geoName,desatascar fregadero
0,Andalusia,74.0
1,Aragon,88.0
2,Asturias,0.0
3,Balearic Islands,75.0
4,Basque Country,43.0
5,Canary Islands,55.0
6,Cantabria,0.0
7,Castile and León,91.0
8,Castile-La Mancha,91.0
9,Catalonia,56.0
10,Ceuta,0.0
11,Community of Madrid,49.0
12,Extremadura,0.0
13,Galicia,80.0
14,La Rioja,0.0
15,Melilla,0.0
16,Navarre,0.0
17,Region of Murcia,100.0
18,Valencian Community,61.0
19,Grand-est,
20,Hauts-de-france,
21,Normandie,
22,Bourgogne-Franche-Comté,
23,Nouvelle-Aquitaine,
24,Occitanie,
25,Auvergne-Rhône-Alpes,
