date,Flachdach,isPartial
2018-01-07,64,False
2018-01-14,64,False
2018-01-21,83,False
2018-01-28,66,False
2018-02-04,61,False
2018-02-11,28,False
2018-02-18,66,False
2018-02-25,51,False
2018-03-04,46,False
2018-03-11,77,False
2018-03-18,56,False
2018-03-25,63,False
2018-04-01,49,False
2018-04-08,78,False
2018-04-15,76,False
2018-04-22,80,False
2018-04-29,47,False
2018-05-06,73,False
2018-05-13,59,False
2018-05-20,57,False
2018-05-27,73,False
2018-06-03,58,False
2018-06-10,61,False
2018-06-17,81,False
2018-06-24,62,False
2018-07-01,55,False
2018-07-08,54,False
2018-07-15,49,False
2018-07-22,62,False
2018-07-29,42,False
2018-08-05,67,False
2018-08-12,76,False
2018-08-19,67,False
2018-08-26,42,False
2018-09-02,56,False
2018-09-09,73,False
2018-09-16,58,False
2018-09-23,71,False
2018-09-30,41,False
2018-10-07,75,False
2018-10-14,55,False
2018-10-21,65,False
2018-10-28,51,False
2018-11-04,51,False
2018-11-11,62,False
2018-11-18,55,False
2018-11-25,46,False
2018-12-02,55,False
2018-12-09,37,False
2018-12-16,53,False
2018-12-23,47,False
2018-12-30,35,False
2019-01-06,56,False
2019-01-13,53,False
2019-01-20,65,False
2019-01-27,76,False
2019-02-03,68,False
2019-02-10,60,False
2019-02-17,64,False
2019-02-24,70,False
2019-03-03,69,False
2019-03-10,73,False
2019-03-17,100,False
2019-03-24,90,False
2019-03-31,54,False
2019-04-07,86,False
2019-04-14,87,False
2019-04-21,63,False
2019-04-28,58,False
2019-05-05,72,False
2019-05-12,60,False
2019-05-19,82,False
2019-05-26,74,False
2019-06-02,71,False
2019-06-09,75,False
2019-06-16,64,False
2019-06-23,65,False
2019-06-30,55,False
2019-07-07,71,False
2019-07-14,69,False
2019-07-21,56,False
2019-07-28,58,False
2019-08-04,71,False
2019-08-11,76,False
2019-08-18,59,False
2019-08-25,49,False
2019-09-01,64,False
2019-09-08,59,False
2019-09-15,85,False
2019-09-22,60,False
2019-09-29,54,False
2019-10-06,75,False
2019-10-13,82,False
2019-10-20,71,False
2019-10-27,44,False
2019-11-03,61,False
2019-11-10,55,False
2019-11-17,62,False
2019-11-24,44,False
2019-12-01,42,False
2019-12-08,61,False
2019-12-15,48,False
2019-12-22,33,False
2019-12-29,52,False
2020-01-05,56,False
2020-01-12,68,False
2020-01-19,81,False
2020-01-26,63,False
2020-02-02,73,False
2020-02-09,60,False
2020-02-16,67,False
2020-02-23,61,False
2020-03-01,83,False
2020-03-08,60,False
2020-03-15,64,False
2020-03-22,61,False
2020-03-29,91,False
2020-04-05,79,False
2020-04-12,88,False
2020-04-19,84,False
2020-04-26,87,False
2020-05-03,96,False
2020-05-10,80,False
