,geoName,means
0,Baden-Württemberg,65.0
1,Bavaria,64.0
2,Berlin,36.0
3,Brandenburg,27.0
4,Bremen,25.0
5,Hamburg,26.0
6,Hesse,47.0
7,Lower Saxony,62.0
8,Mecklenburg-Vorpommern,29.0
9,North Rhine-Westphalia,100.0
10,Rhineland-Palatinate,45.0
11,Saarland,17.0
12,Saxony,33.0
13,Saxony-Anhalt,26.0
14,Schleswig-Holstein,34.0
15,Thuringia,24.0
