,geoName,means
0,Baden-Württemberg,16.0
1,Bavaria,44.0
2,Berlin,68.0
3,Brandenburg,0.0
4,Bremen,0.0
5,Hamburg,100.0
6,Hesse,29.0
7,Lower Saxony,47.0
8,Mecklenburg-Vorpommern,0.0
9,North Rhine-Westphalia,36.0
10,Rhineland-Palatinate,0.0
11,Saarland,0.0
12,Saxony,0.0
13,Saxony-Anhalt,0.0
14,Schleswig-Holstein,80.0
15,Thuringia,0.0
