,geoName,means
0,Baden-Württemberg,87.0
1,Bavaria,100.0
2,Berlin,69.0
3,Brandenburg,64.0
4,Bremen,42.0
5,Hamburg,66.0
6,Hesse,92.0
7,Lower Saxony,75.0
8,Mecklenburg-Vorpommern,32.0
9,North Rhine-Westphalia,69.0
10,Rhineland-Palatinate,83.0
11,Saarland,56.0
12,Saxony,49.0
13,Saxony-Anhalt,56.0
14,Schleswig-Holstein,70.0
15,Thuringia,89.0
