geoName,geoCode,piante da interno
Abruzzo,IT-65,44
Aosta,IT-23,0
Apulia,IT-75,46
Basilicata,IT-77,100
Calabria,IT-78,55
Campania,IT-72,38
Emilia-Romagna,IT-45,42
Friuli-Venezia Giulia,IT-36,63
Lazio,IT-62,51
Liguria,IT-42,46
Lombardy,IT-25,48
Marche,IT-57,47
Molise,IT-67,0
Piedmont,IT-21,42
Sardinia,IT-88,35
Sicily,IT-82,28
Trentino-Alto Adige/South Tyrol,IT-32,42
Tuscany,IT-52,67
Umbria,IT-55,96
Veneto,IT-34,82
