geoName,geoCode,Hochzeitsplaner
Baden-Württemberg,DE-BW,55
Bavaria,DE-BY,67
Berlin,DE-BE,58
Brandenburg,DE-BB,45
Bremen,DE-HB,64
Hamburg,DE-HH,73
Hesse,DE-HE,37
Lower Saxony,DE-NI,33
Mecklenburg-Vorpommern,DE-MV,72
North Rhine-Westphalia,DE-NW,51
Rhineland-Palatinate,DE-RP,58
Saarland,DE-SL,100
Saxony,DE-SN,54
Saxony-Anhalt,DE-ST,55
Schleswig-Holstein,DE-SH,73
Thuringia,DE-TH,27
