Year,ticket_geo_region_name,Type,sub_type,Percentage
2018,Baden-Württemberg,Kosten,Günstige Hochzeit,0.42
2018,Baden-Württemberg,Service,Hochzeitstorte,0.41
2018,Baden-Württemberg,Zeremonie,standesamtlich,0.48
2018,Baden-Württemberg,Location,Villa,0.55
2018,Baden-Württemberg,Essen,Catering,0.45
2018,Bayern,Kosten,Günstige Hochzeit,0.42
2018,Bayern,Service,Hochzeitstorte,0.35
2018,Bayern,Zeremonie,standesamtlich,0.48
2018,Bayern,Location,Villa,0.52
2018,Bayern,Essen,Catering,0.52
2018,Berlin,Kosten,Günstige Hochzeit,0.44
2018,Berlin,Service,Hochzeitstorte,0.36
2018,Berlin,Zeremonie,standesamtlich,0.6
2018,Berlin,Location,Villa,0.46
2018,Berlin,Essen,NA,NA
2018,Brandenburg,Kosten,Günstige Hochzeit,0.61
2018,Brandenburg,Service,Tanzkurs,0.66
2018,Brandenburg,Zeremonie,NA,NA
2018,Brandenburg,Location,Villa,0.59
2018,Brandenburg,Essen,NA,NA
2018,Bremen,Kosten,NA,NA
2018,Bremen,Service,Hochzeitstorte,0.31
2018,Bremen,Zeremonie,NA,NA
2018,Bremen,Location,NA,NA
2018,Bremen,Essen,NA,NA
2018,Deutschland,Kosten,Günstige Hochzeit,0.42
2018,Deutschland,Service,Hochzeitstorte,0.39
2018,Deutschland,Zeremonie,standesamtlich,0.56
2018,Deutschland,Location,Villa,0.52
2018,Deutschland,Essen,Catering,0.62
2018,Hamburg,Kosten,Günstige Hochzeit,0.61
2018,Hamburg,Service,Hochzeitstorte,0.38
2018,Hamburg,Zeremonie,standesamtlich,0.6
2018,Hamburg,Location,Villa,0.56
2018,Hamburg,Essen,NA,NA
2018,Hessen,Kosten,Günstige Hochzeit,0.41
2018,Hessen,Service,Hochzeitstorte,0.39
2018,Hessen,Zeremonie,standesamtlich,0.54
2018,Hessen,Location,Villa,0.52
2018,Hessen,Essen,Catering,0.51
2018,Mecklenburg-Vorpommern,Kosten,Günstige Hochzeit,0.61
2018,Mecklenburg-Vorpommern,Service,Hochzeitstorte,0.475
2018,Mecklenburg-Vorpommern,Zeremonie,NA,NA
2018,Mecklenburg-Vorpommern,Location,NA,NA
2018,Mecklenburg-Vorpommern,Essen,NA,NA
2018,Niedersachsen,Kosten,Günstige Hochzeit,0.37
2018,Niedersachsen,Service,Hochzeitstorte,0.38
2018,Niedersachsen,Zeremonie,standesamtlich,0.56
2018,Niedersachsen,Location,Villa,0.53
2018,Niedersachsen,Essen,Catering,0.5
2018,Nordrhein-Westfalen,Kosten,Günstige Hochzeit,0.42
2018,Nordrhein-Westfalen,Service,Hochzeitstorte,0.4
2018,Nordrhein-Westfalen,Zeremonie,standesamtlich,0.53
2018,Nordrhein-Westfalen,Location,Villa,0.54
2018,Nordrhein-Westfalen,Essen,Catering,0.58
2018,Rheinland-Pfalz,Kosten,Günstige Hochzeit,0.48
2018,Rheinland-Pfalz,Service,Hochzeitstorte,0.37
2018,Rheinland-Pfalz,Zeremonie,standesamtlich,0.51
2018,Rheinland-Pfalz,Location,Villa,0.56
2018,Rheinland-Pfalz,Essen,NA,NA
2018,Saarland,Kosten,NA,NA
2018,Saarland,Service,Hochzeitstorte,0.37
2018,Saarland,Zeremonie,standesamtlich,0.55
2018,Saarland,Location,NA,NA
2018,Saarland,Essen,NA,NA
2018,Sachsen,Kosten,Günstige Hochzeit,0.41
2018,Sachsen,Service,Dekorateur für Hochzeiten,0.5
2018,Sachsen,Zeremonie,standesamtlich,0.57
2018,Sachsen,Location,Villa,0.67
2018,Sachsen,Essen,NA,NA
2018,Sachsen-Anhalt,Kosten,Günstige Hochzeit,0.52
2018,Sachsen-Anhalt,Service,Musiker für Hochzeit,0.44
2018,Sachsen-Anhalt,Zeremonie,NA,NA
2018,Sachsen-Anhalt,Location,Villa,0.72
2018,Sachsen-Anhalt,Essen,NA,NA
2018,Schleswig-Holstein,Kosten,Günstige Hochzeit,0.45
2018,Schleswig-Holstein,Service,Musiker für Hochzeit,0.53
2018,Schleswig-Holstein,Zeremonie,standesamtlich,0.54
2018,Schleswig-Holstein,Location,Villa,0.54
2018,Schleswig-Holstein,Essen,NA,NA
