Year,ticket_geo_region_name,Service_type,Distribution
2018,Baden-Württemberg,Braut Make Up,0.07
2018,Baden-Württemberg,Musik Hochzeit,0.07
2018,Baden-Württemberg,Hochzeitsringe,0.07
2018,Baden-Württemberg,Hochzeitsfotos,0.08
2018,Baden-Württemberg,Blumen Hochzeit,0.13
2018,Baden-Württemberg,Hochzeitstorte,0.38
2018,Baden-Württemberg,Hochzeitsdeko,0.19
2018,Baden-Württemberg,Hochzeitscatering,0.01
2018,Baden-Württemberg,Hochzeit Tanzkurs,0.02
2018,Bayern,Braut Make Up,0.03
2018,Bayern,Musik Hochzeit,0.04
2018,Bayern,Hochzeitsringe,0.03
2018,Bayern,Blumen Hochzeit,0.06
2018,Bayern,Hochzeitsfotos,0.11
2018,Bayern,Hochzeitstorte,0.45
2018,Bayern,Hochzeitsdeko,0.23
2018,Bayern,Hochzeitscatering,0.0
2018,Bayern,Hochzeit Tanzkurs,0.03
2018,Berlin,Braut Make Up,0.07
2018,Berlin,Musik Hochzeit,0.07
2018,Berlin,Hochzeitsringe,0.09
2018,Berlin,Blumen Hochzeit,0.14
2018,Berlin,Hochzeitsfotos,0.11
2018,Berlin,Hochzeitstorte,0.35
2018,Berlin,Hochzeitsdeko,0.18
2018,Berlin,Hochzeitscatering,0.0
2018,Berlin,Hochzeit Tanzkurs,0.0
2018,Brandenburg,Braut Make Up,0.0
2018,Brandenburg,Musik Hochzeit,0.06
2018,Brandenburg,Hochzeitsringe,0.04
2018,Brandenburg,Blumen Hochzeit,0.08
2018,Brandenburg,Hochzeitsfotos,0.17
2018,Brandenburg,Hochzeitstorte,0.43
2018,Brandenburg,Hochzeitsdeko,0.23
2018,Brandenburg,Hochzeitscatering,0.0
2018,Brandenburg,Hochzeit Tanzkurs,0.0
2018,Bremen,Braut Make Up,0.0
2018,Bremen,Musik Hochzeit,0.0
2018,Bremen,Hochzeitsringe,0.06
2018,Bremen,Blumen Hochzeit,0.0
2018,Bremen,Hochzeitsfotos,0.11
2018,Bremen,Hochzeitstorte,0.47
2018,Bremen,Hochzeitsdeko,0.37
2018,Bremen,Hochzeitscatering,0.0
2018,Bremen,Hochzeit Tanzkurs,0.0
2018,Deutschland,Braut Make Up,0.02
2018,Deutschland,Musik Hochzeit,0.02
2018,Deutschland,Hochzeitsringe,0.02
2018,Deutschland,Blumen Hochzeit,0.04
2018,Deutschland,Hochzeitsfotos,0.11
2018,Deutschland,Hochzeitstorte,0.51
2018,Deutschland,Hochzeitsdeko,0.25
2018,Deutschland,Hochzeitscatering,0.01
2018,Deutschland,Hochzeit Tanzkurs,0.02
2018,Hamburg,Braut Make Up,0.05
