Year,ticket_geo_region_name,Prof_type,Distribution,
2018,Baden-Württemberg,Braut Make Up,0.07,
2018,Baden-Württemberg,Blumen Hochzeit,0.08,
2018,Baden-Württemberg,Hochzeitsringe,0.06,
2018,Baden-Württemberg,Hochzeitscatering,0.00,
2018,Baden-Württemberg,Hochzeitstorte,0.41,
2018,Baden-Württemberg,Dekorateur für Hochzeiten,0.21,
2018,Baden-Württemberg,Hochzeitsfotograf,0.09,
2018,Baden-Württemberg,Tanzkurs,0.01,
2018,Baden-Württemberg,Musiker für Hochzeit,0.07,
2018,Bayern,Braut Make Up,0.08,
2018,Bayern,Blumen Hochzeit,0.10,
2018,Bayern,Hochzeitsringe,0.07,
2018,Bayern,Hochzeitscatering,0.00,
2018,Bayern,Hochzeitstorte,0.35,
2018,Bayern,Dekorateur für Hochzeiten,0.19,
2018,Bayern,Hochzeitsfotograf,0.10,
2018,Bayern,Tanzkurs,0.02,
2018,Bayern,Musiker für Hochzeit,0.08,
2018,Berlin,Braut Make Up,0.09,
2018,Berlin,Blumen Hochzeit,0.11,
2018,Berlin,Hochzeitsringe,0.08,
2018,Berlin,Hochzeitscatering,0.00,
2018,Berlin,Hochzeitstorte,0.36,
2018,Berlin,Dekorateur für Hochzeiten,0.16,
2018,Berlin,Hochzeitsfotograf,0.12,
2018,Berlin,Tanzkurs,0.00,
2018,Berlin,Musiker für Hochzeit,0.07,
2018,Brandenburg,Tanzkurs,0.66,
2018,Brandenburg,Hochzeitstorte,0.18,
2018,Brandenburg,Musiker für Hochzeit,0.00,
2018,Brandenburg,Hochzeitsringe,0.16,
2018,Brandenburg,Dekorateur für Hochzeiten,0.00,
2018,Bremen,Braut Make Up,0.14,
2018,Bremen,Blumen Hochzeit,0.16,
2018,Bremen,Hochzeitsringe,0.12,
2018,Bremen,Hochzeitscatering,0.00,
2018,Bremen,Hochzeitstorte,0.31,
2018,Bremen,Dekorateur für Hochzeiten,0.17,
2018,Bremen,Hochzeitsfotograf,0.10,
2018,Bremen,Tanzkurs,0.00,
2018,Bremen,Musiker für Hochzeit,0.00,
2018,Deutschland,Braut Make Up,0.09,
2018,Deutschland,Blumen Hochzeit,0.10,
2018,Deutschland,Hochzeitsringe,0.08,
2018,Deutschland,Hochzeitscatering,0.00,
2018,Deutschland,Hochzeitstorte,0.39,
2018,Deutschland,Dekorateur für Hochzeiten,0.19,
2018,Deutschland,Hochzeitsfotograf,0.09,
2018,Deutschland,Tanzkurs,0.01,
2018,Deutschland,Musiker für Hochzeit,0.05,
2018,Hamburg,Braut Make Up,0.10,
2018,Hamburg,Blumen Hochzeit,0.12,
2018,Hamburg,Hochzeitsringe,0.09,
2018,Hamburg,Hochzeitscatering,0.00,
2018,Hamburg,Hochzeitstorte,0.38,
2018,Hamburg,Dekorateur für Hochzeiten,0.21,
2018,Hamburg,Hochzeitsfotograf,0.10,
2018,Hamburg,Tanzkurs,0.00,
2018,Hamburg,Musiker für Hochzeit,0.00,
2018,Hessen,Braut Make Up,0.07,
2018,Hessen,Blumen Hochzeit,0.08,
2018,Hessen,Hochzeitsringe,0.06,
2018,Hessen,Hochzeitscatering,0.00,
2018,Hessen,Hochzeitstorte,0.39,
2018,Hessen,Dekorateur für Hochzeiten,0.21,
2018,Hessen,Hochzeitsfotograf,0.12,
2018,Hessen,Tanzkurs,0.00,
2018,Hessen,Musiker für Hochzeit,0.08,
2018,Niedersachsen,Braut Make Up,0.08,
2018,Niedersachsen,Blumen Hochzeit,0.12,
2018,Niedersachsen,Hochzeitsringe,0.05,
2018,Niedersachsen,Hochzeitscatering,0.00,
2018,Niedersachsen,Hochzeitstorte,0.38,
2018,Niedersachsen,Dekorateur für Hochzeiten,0.19,
2018,Niedersachsen,Hochzeitsfotograf,0.12,
2018,Niedersachsen,Tanzkurs,0.00,
2018,Niedersachsen,Musiker für Hochzeit,0.06,
2018,Mecklenburg-Vorpommern,Hochzeitstorte,0.48,
2018,Mecklenburg-Vorpommern,Hochzeitsringe,0.10,
2018,Mecklenburg-Vorpommern,Musiker für Hochzeit,0.00,
2018,Mecklenburg-Vorpommern,Dekorateur für Hochzeiten,0.30,
2018,Mecklenburg-Vorpommern,Hochzeitsfotograf,0.13,
2018,Mecklenburg-Vorpommern,Braut Make Up,0.00,
2018,Mecklenburg-Vorpommern,Tanzkurs,0.00,
2018,Mecklenburg-Vorpommern,Hochzeitscatering,0.00,
2018,Mecklenburg-Vorpommern,Blumen Hochzeit,0.00,
2018,Nordrhein-Westfalen,Blumen Hochzeit,0.10,
2018,Nordrhein-Westfalen,Hochzeitsringe,0.08,
2018,Nordrhein-Westfalen,Hochzeitscatering,0.00,
2018,Nordrhein-Westfalen,Hochzeitstorte,0.43,
2018,Nordrhein-Westfalen,Dekorateur für Hochzeiten,0.20,
2018,Nordrhein-Westfalen,Hochzeitsfotograf,0.12,
2018,Nordrhein-Westfalen,Tanzkurs,0.01,
2018,Nordrhein-Westfalen,Musiker für Hochzeit,0.06,
2018,Rheinland-Pfalz,Braut Make Up,0.13,
2018,Rheinland-Pfalz,Blumen Hochzeit,0.14,
2018,Rheinland-Pfalz,Hochzeitsringe,0.11,
2018,Rheinland-Pfalz,Hochzeitscatering,0.00,
2018,Rheinland-Pfalz,Hochzeitstorte,0.37,
2018,Rheinland-Pfalz,Dekorateur für Hochzeiten,0.17,
2018,Rheinland-Pfalz,Hochzeitsfotograf,0.05,
2018,Rheinland-Pfalz,Tanzkurs,0.00,
2018,Rheinland-Pfalz,Musiker für Hochzeit,0.03,
2018,Saarland,Braut Make Up,0.13,
2018,Saarland,Blumen Hochzeit,0.14,
2018,Saarland,Hochzeitsringe,0.11,
2018,Saarland,Hochzeitscatering,0.00,
2018,Saarland,Hochzeitstorte,0.37,
2018,Saarland,Dekorateur für Hochzeiten,0.17,
2018,Saarland,Hochzeitsfotograf,0.08,
2018,Saarland,Tanzkurs,0.00,
2018,Saarland,Musiker für Hochzeit,0.00,
2018,Sachsen,Hochzeitstorte,0.03,
2018,Sachsen,Tanzkurs,0.00,
2018,Sachsen,Musiker für Hochzeit,0.25,
2018,Sachsen,Dekorateur für Hochzeiten,0.50,
2018,Sachsen,Hochzeitsfotograf,0.22,
2018,Sachsen-Anhalt,Tanzkurs,0.22,
2018,Sachsen-Anhalt,Musiker für Hochzeit,0.44,
2018,Sachsen-Anhalt,Dekorateur für Hochzeiten,0.34,
2018,Sachsen-Anhalt,Hochzeitsfotograf,0.00,
2018,Schleswig-Holstein,Tanzkurs,0.24,
2018,Schleswig-Holstein,Musiker für Hochzeit,0.53,
2018,Schleswig-Holstein,Dekorateur für Hochzeiten,0.24,
2018,Schleswig-Holstein,Hochzeitsfotograf,0.00,
2018,Thüringen,Tanzkurs,0.00,
2018,Thüringen,Hochzeitsfotograf,0.33,
2018,Thüringen,Dekorateur für Hochzeiten,0.67,
2018,Thüringen,Musiker für Hochzeit,0.00,
2019,Baden-Württemberg,Braut Make Up,0.03,
2019,Baden-Württemberg,Blumen Hochzeit,0.09,
