geoName,geoCode,Heizungsausfall
Baden-Württemberg,DE-BW,17
Bavaria,DE-BY,23
Berlin,DE-BE,69
Brandenburg,DE-BB,100
Bremen,DE-HB,0
Hamburg,DE-HH,30
Hesse,DE-HE,23
Lower Saxony,DE-NI,15
Mecklenburg-Vorpommern,DE-MV,55
North Rhine-Westphalia,DE-NW,19
Rhineland-Palatinate,DE-RP,43
Saarland,DE-SL,0
Saxony,DE-SN,18
Saxony-Anhalt,DE-ST,55
Schleswig-Holstein,DE-SH,36
Thuringia,DE-TH,41
