geoName,geoCode,vivaio
Abruzzo,IT-65,59
Aosta,IT-23,100
Apulia,IT-75,24
Basilicata,IT-77,32
Calabria,IT-78,28
Campania,IT-72,30
Emilia-Romagna,IT-45,76
Friuli-Venezia Giulia,IT-36,86
Lazio,IT-62,83
Liguria,IT-42,46
Lombardy,IT-25,62
Marche,IT-57,59
Molise,IT-67,46
Piedmont,IT-21,57
Sardinia,IT-88,39
Sicily,IT-82,25
Trentino-Alto Adige/South Tyrol,IT-32,57
Tuscany,IT-52,58
Umbria,IT-55,62
Veneto,IT-34,79
