geoName,geoCode,Altbau
Burgenland,AT-1,52
Carinthia,AT-2,78
Lower Austria,AT-3,42
Salzburg,AT-5,24
Styria,AT-6,44
Tyrol,AT-7,44
Upper Austria,AT-4,57
Vienna,AT-9,100
Vorarlberg,AT-8,63
