geoName,geoCode,Container Sperrmüll
Baden-Württemberg,DE-BW,39
Bavaria,DE-BY,51
Berlin,DE-BE,65
Brandenburg,DE-BB,100
Bremen,DE-HB,0
Hamburg,DE-HH,0
Hesse,DE-HE,41
Lower Saxony,DE-NI,86
Mecklenburg-Vorpommern,DE-MV,0
North Rhine-Westphalia,DE-NW,47
Rhineland-Palatinate,DE-RP,0
Saarland,DE-SL,97
Saxony,DE-SN,70
Saxony-Anhalt,DE-ST,0
Schleswig-Holstein,DE-SH,78
Thuringia,DE-TH,0
